date,AMBER,BATAINDIA,BLUESTARCO,CENTURYPLY,CERA,CROMPTON,DIXON,HAVELLS,KAJARIACER,KALYANKJIL,PGEL,TITAN,VGUARD,VOLTAS,WHIRLPOOL
2021-03-26,0.02414417266845703,-0.012415170669555664,-0.029159903526306152,0.0076590776443481445,-0.0437626838684082,-0.044550418853759766,-0.008710622787475586,0.023534536361694336,-0.0006671547889709473,0.0,0.001356959342956543,-0.03790879249572754,0.012009382247924805,-0.021750450134277344,0.00904393196105957
2021-03-30,0.05653107166290283,-0.0054534077644348145,-0.023049235343933105,-0.03949105739593506,-0.015956401824951172,-0.006521463394165039,-0.0030210018157958984,0.00023806095123291016,0.041170597076416016,-0.0,0.05013549327850342,-0.03077995777130127,-0.06924247741699219,-0.014089584350585938,0.01500701904296875
2021-03-31,0.020528554916381836,0.0013885498046875,-0.026706218719482422,-0.011762857437133789,0.002157926559448242,-0.0172346830368042,-0.010067224502563477,-0.00014281272888183594,-0.00940471887588501,-0.0,0.050322651863098145,-0.0037689208984375,-0.02456355094909668,-0.008759140968322754,0.00828695297241211
2021-04-01,-0.02059805393218994,0.0134049654006958,0.012202978134155273,-0.0,0.010198891162872314,-0.0019108057022094727,0.022902071475982666,0.007663726806640625,0.01623690128326416,0.0,-0.04054057598114014,-0.000834345817565918,0.019021213054656982,-0.003992199897766113,-0.0013249516487121582
2021-04-05,-0.00828319787979126,-0.019999325275421143,-0.0017338991165161133,-0.0036134719848632812,0.025494813919067383,0.050731122493743896,0.02540379762649536,-0.027020633220672607,0.0054672956466674805,-0.0,-0.049935996532440186,0.015615463256835938,-0.010502934455871582,0.029076993465423584,-0.015357613563537598
2021-04-06,-0.015695512294769287,-0.004725992679595947,0.011899590492248535,0.014088928699493408,0.011316478252410889,-0.01768016815185547,0.0040607452392578125,0.021459460258483887,0.017157673835754395,0.0,-0.008086204528808594,0.006188929080963135,0.01838892698287964,0.0019965171813964844,-0.0013473033905029297
2021-04-07,0.009179472923278809,-0.0015467405319213867,0.0030655264854431152,0.0019053816795349121,-0.01517629623413086,-0.027507305145263672,-0.03767192363739014,0.006036520004272461,0.014844059944152832,-0.0,-0.009510815143585205,0.007472991943359375,0.018937110900878906,-0.02544236183166504,-0.003315746784210205
2021-04-08,0.02294325828552246,0.012537717819213867,-0.003404378890991211,0.012885749340057373,-0.007018685340881348,-0.01408994197845459,-0.0333712100982666,0.001370072364807129,-0.005830347537994385,0.0,0.049382686614990234,-0.037778258323669434,-0.005811572074890137,-0.004702091217041016,0.007754683494567871
2021-04-09,-0.003177940845489502,-0.009962975978851318,0.001641690731048584,-0.0038678646087646484,-0.006576061248779297,0.00972592830657959,-0.0064667463302612305,0.00235903263092041,-0.013066530227661133,-0.0,-0.006535947322845459,-0.013173818588256836,0.0074288249015808105,-0.0018919706344604492,-0.008514702320098877
2021-04-12,-0.038869500160217285,-0.0613139271736145,-0.04856389760971069,-0.06196826696395874,0.020003437995910645,0.026147961616516113,0.053503215312957764,-0.0645328164100647,-0.06280946731567383,-0.0,-0.050000011920928955,-0.05122488737106323,0.0370061993598938,-0.05550867319107056,-0.00996553897857666
2021-04-13,0.01743006706237793,0.005436897277832031,-0.0003457069396972656,0.0379941463470459,-0.011310219764709473,0.03641122579574585,0.010330140590667725,0.030240535736083984,0.001946568489074707,0.0,-0.029085874557495117,0.013340353965759277,-0.005613088607788086,0.008365750312805176,0.01264035701751709
2021-04-15,-0.030015230178833008,0.003122568130493164,-0.001383066177368164,-0.0933222770690918,-0.008762836456298828,-0.04730188846588135,0.006731390953063965,-0.013235628604888916,0.0034415721893310547,-0.0,-0.04992866516113281,0.00519406795501709,-0.00042939186096191406,-0.011009633541107178,-0.021140217781066895
2021-04-16,0.017338275909423828,0.0048972368240356445,-0.01015704870223999,-0.022922635078430176,-0.028290390968322754,-0.003374457359313965,-0.06841385364532471,0.0002474784851074219,-0.0001659393310546875,-0.0,-0.04054051637649536,0.006824612617492676,-0.010514974594116211,0.009865999221801758,0.0006318092346191406
2021-04-19,-0.030781924724578857,-0.02651965618133545,-0.03544771671295166,0.04408073425292969,0.027207672595977783,0.035441696643829346,-0.025184988975524902,-0.00940173864364624,-0.044096529483795166,-0.0,-0.05007827281951904,-0.019592702388763428,0.032278597354888916,-0.0003134608268737793,-0.0012860894203186035
2021-04-20,0.04191994667053223,0.007140398025512695,0.009429335594177246,-0.045342326164245605,-0.018345952033996582,0.014885365962982178,-0.0272291898727417,0.003846287727355957,0.020316123962402344,0.0,0.05107080936431885,0.0027655363082885742,0.005266666412353516,-0.01593935489654541,0.006555795669555664
