symbol,date,open,high,low,close,volume,simple_return,zscore_20,zscore_20_signal
AUBANK,2017-07-10,265.25,273.3,262.2,268.35,21165022,,,0
AUBANK,2017-07-11,268.0,287.3,266.5,285.5,28565342,0.063909054,,0
AUBANK,2017-07-12,288.65,321.3,287.9,319.5,35536694,0.119089365,,0
AUBANK,2017-07-13,326.0,349.45,315.05,345.55,43750394,0.08153355,,0
AUBANK,2017-07-14,348.9,362.75,280.55,299.4,67296768,-0.13355517,,0
AUBANK,2017-07-17,295.0,306.85,281.15,298.05,23021580,-0.004509032,,0
AUBANK,2017-07-18,295.0,301.5,290.55,294.45,7099796,-0.012078404,,0
AUBANK,2017-07-19,295.95,300.75,292.05,293.45,3583984,-0.0033961535,,0
AUBANK,2017-07-20,294.0,299.45,288.55,291.3,6110080,-0.007326722,,0
AUBANK,2017-07-21,292.0,297.5,290.1,291.7,2877876,0.001373291,,0
AUBANK,2017-07-24,293.25,295.45,288.0,293.2,2979578,0.005142212,,0
AUBANK,2017-07-25,294.95,306.0,294.45,301.0,6180740,0.026602983,,0
AUBANK,2017-07-26,301.15,303.5,296.0,297.5,2126020,-0.0116279125,,0
AUBANK,2017-07-27,298.95,299.2,290.0,290.9,1698416,-0.022184908,,0
AUBANK,2017-07-28,289.0,299.35,285.0,294.25,4663896,0.011515975,,0
AUBANK,2017-07-31,295.0,297.5,289.05,295.3,2100158,0.0035684109,,0
AUBANK,2017-08-01,296.0,296.25,291.5,292.95,844314,-0.007957935,,0
AUBANK,2017-08-02,291.1,294.95,290.0,291.0,930916,-0.006656468,,0
AUBANK,2017-08-03,291.0,292.75,274.05,279.25,1480784,-0.040378034,,0
AUBANK,2017-08-04,280.2,280.2,270.85,277.15,1403112,-0.007520139,,0
AUBANK,2017-08-07,275.0,290.7,248.1,275.7,14704942,-0.005231738,-0.1571340612457982,0
AUBANK,2017-08-08,276.7,289.15,274.25,284.15,4743356,0.030649185,0.6252196963985407,0
AUBANK,2017-08-09,282.5,282.5,270.5,274.95,2774206,-0.032377183,-0.6552316918942062,0
AUBANK,2017-08-10,257.5,275.35,251.0,271.4,6399422,-0.012911499,-0.04424134884139825,0
AUBANK,2017-08-11,266.0,273.9,262.55,270.75,1678474,-0.0023949742,0.14986478922960314,0
AUBANK,2017-08-14,272.6,277.5,268.5,270.2,1176194,-0.0020313263,0.16417504470253313,0
AUBANK,2017-08-16,272.55,275.9,270.15,272.05,975976,0.0068466663,0.6373860088514618,0
AUBANK,2017-08-17,273.2,276.25,271.05,271.75,651746,-0.0011026859,0.15518529164230896,0
AUBANK,2017-08-18,270.7,274.5,267.5,268.85,573760,-0.010671556,-0.40519066118169755,0
AUBANK,2017-08-21,270.35,273.25,268.65,270.1,1074978,0.0046494007,0.4953678420940574,0
AUBANK,2017-08-22,271.4,272.1,263.85,264.75,943080,-0.019807518,-0.8690724979240296,0
AUBANK,2017-08-23,265.9,266.5,261.0,262.6,510576,-0.008120835,-0.09308606700874578,0
AUBANK,2017-08-24,263.35,267.5,262.0,266.4,972048,0.014470577,1.2367984864206645,0
AUBANK,2017-08-28,266.6,270.6,264.0,268.95,1001376,0.009572148,0.8421535325442621,0
AUBANK,2017-08-29,265.5,279.4,265.5,272.4,1649802,0.012827635,1.0386058103409543,0
AUBANK,2017-08-30,275.0,278.85,274.2,275.4,712294,0.011013269,0.8867467621358552,0
AUBANK,2017-08-31,274.9,278.2,273.0,274.7,580208,-0.0025416613,0.03365446550084897,0
AUBANK,2017-09-01,275.5,285.0,273.75,276.15,1765988,0.005278468,0.4779798732206035,0
AUBANK,2017-09-04,277.85,282.15,271.0,278.5,1182770,0.008509874,0.6228964279708066,0
AUBANK,2017-09-05,280.05,288.25,276.55,286.55,1989224,0.028904796,1.8034017631868886,0
AUBANK,2017-09-06,284.0,289.0,281.8,283.9,1157354,-0.009247899,-0.7136036280822068,0
AUBANK,2017-09-07,285.6,288.0,277.5,279.35,815452,-0.016026735,-1.0902240854381493,0
AUBANK,2017-09-08,280.5,282.75,275.0,277.15,831916,-0.0078754425,-0.6937401754906398,0
AUBANK,2017-09-11,279.35,282.45,275.5,279.3,697004,0.0077575445,0.5348453184169523,0
AUBANK,2017-09-12,280.0,280.2,275.5,277.8,468214,-0.0053705573,-0.5711515439509552,0
AUBANK,2017-09-13,278.45,280.0,275.5,278.75,476598,0.003419757,0.15280407405779908,0
AUBANK,2017-09-14,279.5,282.15,276.35,277.05,359790,-0.0060986876,-0.5994352693882513,0
AUBANK,2017-09-15,275.9,286.0,275.2,283.6,1008804,0.023642063,1.6705325521207623,0
AUBANK,2017-09-18,284.5,288.0,279.5,281.35,823952,-0.007933736,-0.810078169961154,0
AUBANK,2017-09-19,281.4,281.4,275.5,276.5,931266,-0.017238319,-1.3791140538250652,0
AUBANK,2017-09-20,278.4,279.0,273.15,274.95,1214296,-0.0056057572,-0.6015951803360726,0
AUBANK,2017-09-21,275.6,280.4,273.0,276.85,986458,0.006910324,0.3380365673839079,0
AUBANK,2017-09-22,275.95,275.95,270.5,272.95,569140,-0.014087021,-1.218635607581915,0
AUBANK,2017-09-25,274.8,278.75,264.25,276.75,896016,0.013921976,0.9694633703019175,0
AUBANK,2017-09-26,278.05,281.8,272.3,280.05,1125944,0.011924028,0.819555877624117,0
AUBANK,2017-09-27,280.45,281.7,275.8,279.3,838242,-0.0026780963,-0.2745024072959623,0
