symbol,date,open,high,low,close,volume,simple_return,zscore_20,zscore_20_signal,zscore_20_signal_position,zscore_20_signal_position_strategy_return,zscore_20_signal_position_cumulative_return,zscore_20_signal_position_equity_curve,zscore_20_signal_position_strategy_return_transaction_cost,zscore_20_signal_position_strategy_return_net_return,zscore_20_signal_position_strategy_return_net_return_slippage,zscore_20_signal_position_strategy_return_net_return_net_return
AUBANK,2017-07-10,265.25,273.3,262.2,268.35,21165022,0.0,,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AUBANK,2017-07-11,268.0,287.3,266.5,285.5,28565342,0.063909054,,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AUBANK,2017-07-12,288.65,321.3,287.9,319.5,35536694,0.119089365,,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AUBANK,2017-07-13,326.0,349.45,315.05,345.55,43750394,0.08153355,,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AUBANK,2017-07-14,348.9,362.75,280.55,299.4,67296768,-0.13355517,,0,0,-0.0,0.0,1.0,0.0,-0.0,0.0,-0.0
AUBANK,2017-07-17,295.0,306.85,281.15,298.05,23021580,-0.004509032,,0,0,-0.0,0.0,1.0,0.0,-0.0,0.0,-0.0
AUBANK,2017-07-18,295.0,301.5,290.55,294.45,7099796,-0.012078404,,0,0,-0.0,0.0,1.0,0.0,-0.0,0.0,-0.0
AUBANK,2017-07-19,295.95,300.75,292.05,293.45,3583984,-0.0033961535,,0,0,-0.0,0.0,1.0,0.0,-0.0,0.0,-0.0
AUBANK,2017-07-20,294.0,299.45,288.55,291.3,6110080,-0.007326722,,0,0,-0.0,0.0,1.0,0.0,-0.0,0.0,-0.0
AUBANK,2017-07-21,292.0,297.5,290.1,291.7,2877876,0.001373291,,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AUBANK,2017-07-24,293.25,295.45,288.0,293.2,2979578,0.005142212,,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AUBANK,2017-07-25,294.95,306.0,294.45,301.0,6180740,0.026602983,,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AUBANK,2017-07-26,301.15,303.5,296.0,297.5,2126020,-0.0116279125,,0,0,-0.0,0.0,1.0,0.0,-0.0,0.0,-0.0
AUBANK,2017-07-27,298.95,299.2,290.0,290.9,1698416,-0.022184908,,0,0,-0.0,0.0,1.0,0.0,-0.0,0.0,-0.0
AUBANK,2017-07-28,289.0,299.35,285.0,294.25,4663896,0.011515975,,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AUBANK,2017-07-31,295.0,297.5,289.05,295.3,2100158,0.0035684109,,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AUBANK,2017-08-01,296.0,296.25,291.5,292.95,844314,-0.007957935,,0,0,-0.0,0.0,1.0,0.0,-0.0,0.0,-0.0
AUBANK,2017-08-02,291.1,294.95,290.0,291.0,930916,-0.006656468,,0,0,-0.0,0.0,1.0,0.0,-0.0,0.0,-0.0
AUBANK,2017-08-03,291.0,292.75,274.05,279.25,1480784,-0.040378034,,0,0,-0.0,0.0,1.0,0.0,-0.0,0.0,-0.0
