date,AUBANK,AXISBANK,BANKBARODA,CANBK,FEDERALBNK,HDFCBANK,ICICIBANK,IDFCFIRSTB,INDUSINDBK,KOTAKBANK,PNB,SBIN,UNIONBANK,YESBANK
2017-07-10,0.0,-0.013514876365661621,-0.03980445861816406,-0.04686236381530762,0.012079417705535889,0.005518317222595215,-0.006040692329406738,-0.007727980613708496,-0.022308826446533203,0.003628849983215332,-0.06271123886108398,0.019457221031188965,-0.039699673652648926,0.0047484636306762695
2017-07-11,0.0,0.006177127361297607,0.024848878383636475,0.016573667526245117,0.0048035383224487305,0.0023860931396484375,0.00617605447769165,0.049079716205596924,-0.0002243518829345703,-0.009297549724578857,0.025082945823669434,-0.0070040225982666016,0.02907639741897583,0.0012558698654174805
2017-07-12,0.0,9.864568710327148e-05,-0.005509614944458008,-0.010867834091186523,-0.01009213924407959,0.00047600269317626953,-0.00932168960571289,-0.0298386812210083,-0.010444045066833496,-0.0026068687438964844,-0.019774675369262695,0.014459609985351562,-0.012437582015991211,0.0004291534423828125
2017-07-13,0.0,-0.010162830352783203,0.0006849765777587891,-0.008725404739379883,-0.0004343986511230469,0.0014275312423706055,-0.018984079360961914,0.01722782850265503,-0.0018389225006103516,0.005750060081481934,0.0006950497627258301,0.0038241147994995117,-0.003980398178100586,-0.0439143180847168
2017-07-14,-0.0,-0.002051234245300293,-0.010280966758728027,-0.015292048454284668,-0.005644798278808594,-0.0021382570266723633,-0.0011749267578125,-0.0,0.00341796875,0.015592575073242188,-0.009180784225463867,0.009870171546936035,-0.001708984375,0.010998666286468506
2017-07-17,-0.0,0.004776298999786377,0.0040705204010009766,-0.0021299123764038086,0.01468050479888916,0.0014286041259765625,-0.01760268211364746,0.017529845237731934,-0.004160046577453613,0.0025588274002075195,0.004893243312835693,0.004801034927368164,-0.0029344558715820312,0.010961353778839111
2017-07-18,-0.0,-0.011851072311401367,0.0034059882164001465,-0.0,0.006134927272796631,0.0007132291793823242,-0.0013179779052734375,-0.005677223205566406,0.006925821304321289,-0.002552330493927002,-0.012812614440917969,-0.006825923919677734,-0.0006804466247558594,-0.006688475608825684
2017-07-19,-0.0,-0.007066130638122559,-0.0037593841552734375,-0.007742404937744141,-0.018518447875976562,0.0052269697189331055,0.005429387092590332,0.0008064508438110352,-0.002834320068359375,0.017400264739990234,-0.022223711013793945,0.007903695106506348,-0.003603696823120117,-0.007927894592285156
2017-07-20,-0.0,-0.038062214851379395,0.016002774238586426,-0.054082512855529785,-0.030303001403808594,-0.010872125625610352,0.005459010601043701,0.009685277938842773,0.00924074649810791,-0.01408451795578003,0.009699702262878418,-0.008012175559997559,0.016734421253204346,-0.0009235143661499023
2017-07-21,0.0,-0.0014814138412475586,0.0010380148887634277,-0.0038222670555114746,0.013445377349853516,0.004442393779754639,-0.004823565483093262,0.016299903392791748,-0.004262804985046387,0.019897937774658203,-0.009456992149353027,-0.0010311603546142578,-0.007717132568359375,-0.003849506378173828
2017-07-24,0.0,0.01109468936920166,-0.01593339443206787,0.0067147016525268555,0.0038331151008605957,-0.01878821849822998,-0.003310680389404297,-0.002485513687133789,0.007755398750305176,-0.006503164768218994,-0.01933884620666504,0.013418197631835938,-0.016478657722473145,-0.009888052940368652
2017-07-25,0.0,-0.01897907257080078,-0.005114197731018066,0.01270449161529541,-0.02052164077758789,-0.002535700798034668,-0.0036298036575317383,-0.0,0.007719516754150391,-0.005035221576690674,-0.010240912437438965,0.0052623748779296875,-0.025696158409118652,-0.015440225601196289
2017-07-26,-0.0,0.029544055461883545,0.01051551103591919,0.0,-0.03644740581512451,-0.004598736763000488,-0.020384669303894043,0.002479374408721924,-0.024440765380859375,-0.00151824951171875,0.024822890758514404,-0.0010132193565368652,0.010755479335784912,-0.05816364288330078
2017-07-27,-0.0,0.007941663265228271,0.015426814556121826,-0.009565651416778564,-0.016521751880645752,-0.024032950401306152,0.010149836540222168,0.019883930683135986,-0.016770005226135254,0.011657357215881348,0.02991938591003418,0.008620738983154297,0.029832959175109863,-0.0431671142578125
2017-07-28,0.0,0.01820272207260132,-0.0038299560546875,0.029448986053466797,0.005747199058532715,0.006258368492126465,-0.035970091819763184,-0.023668646812438965,-0.013474822044372559,0.014528989791870117,-0.030498743057250977,0.002513885498046875,-0.01387178897857666,-0.031357526779174805
2017-07-31,0.0,-0.009124517440795898,-0.02913641929626465,0.011688709259033203,0.013186812400817871,-0.003373861312866211,0.021779537200927734,0.018166780471801758,-0.01068568229675293,0.008888959884643555,-0.021663784980773926,-0.04480099678039551,-0.006874680519104004,0.01756387948989868
2017-08-01,-0.0,0.006252408027648926,0.01584094762802124,-0.015050113201141357,-0.0013015270233154297,-0.00717318058013916,0.0,0.005887329578399658,-0.012122154235839844,-0.005873680114746094,0.029555678367614746,0.011200010776519775,0.024901270866394043,-0.009809374809265137
2017-08-02,-0.0,-0.0006775856018066406,0.0006849765777587891,-0.00709986686706543,-0.0026063919067382812,0.0031159520149230957,-0.0024785399436950684,0.012690365314483643,0.004172384738922119,-0.004431366920471191,-0.009210705757141113,0.0042070746421813965,0.027596652507781982,-0.0009576082229614258
2017-08-03,-0.0,0.021087288856506348,0.0335845947265625,-0.03699672222137451,-0.012195110321044922,0.006474673748016357,-0.0203743577003479,0.0051413774490356445,0.008168816566467285,-0.014342188835144043,-0.06068885326385498,0.023236989974975586,0.044052183628082275,0.02381080389022827
2017-08-04,-0.0,-0.0041501522064208984,-0.005319118499755859,0.011945128440856934,0.007495522499084473,-0.005842685699462891,0.001859903335571289,0.012919902801513672,-0.011852622032165527,-0.0005018115043640137,0.01170206069946289,-0.015637993812561035,-0.010708212852478027,-0.012601852416992188
2017-08-07,-0.0,0.004526674747467041,-0.007054686546325684,0.0030307769775390625,0.0021882057189941406,0.0011170506477355957,0.013164520263671875,-0.004363059997558594,0.008530020713806152,0.00200808048248291,0.006940126419067383,-0.019492268562316895,-0.008841156959533691,0.004480183124542236
2017-08-08,0.0,0.012554347515106201,0.022767066955566406,-0.017175614833831787,-0.019213974475860596,0.005815267562866211,-0.015492260456085205,0.015638530254364014,0.007179617881774902,-0.0105210542678833,-0.021720945835113525,0.024260997772216797,0.02766716480255127,0.02016836404800415
2017-08-09,-0.0,0.02502751350402832,0.009319007396697998,-0.008252382278442383,-0.03561890125274658,0.0076490044593811035,-0.016582071781158447,0.006178319454193115,0.0008543729782104492,0.005063295364379883,-0.003344714641571045,0.004445910453796387,0.005735576152801514,0.01247483491897583
2017-08-10,-0.0,0.002977728843688965,-0.04558610916137695,-0.040463387966156006,-0.03324103355407715,0.0022670626640319824,-0.006366133689880371,-0.039076387882232666,0.004794597625732422,0.004534006118774414,-0.0347018837928772,0.018524587154388428,-0.05184298753738403,0.0065746307373046875
2017-08-11,-0.0,-0.008650898933410645,-0.043972671031951904,-0.01496344804763794,0.009073615074157715,0.006589412689208984,-0.0062337517738342285,-0.015711605548858643,0.00248563289642334,-0.005015015602111816,-0.019528090953826904,-0.05578029155731201,-0.05459856986999512,-0.005375504493713379
2017-08-14,-0.0,-0.004186153411865234,0.0,0.013637185096740723,0.0298154354095459,-0.004803180694580078,0.016901850700378418,0.022535204887390137,0.0003999471664428711,-0.009576559066772461,0.020294189453125,-0.006960511207580566,0.007689118385314941,-0.02247905731201172
2017-08-16,0.0,-0.015760064125061035,0.03608238697052002,0.020606279373168945,0.012408018112182617,-0.01365804672241211,0.010795116424560547,0.023875117301940918,-0.013848662376403809,0.018320679664611816,0.03031635284423828,0.01761317253112793,0.040059685707092285,0.009361863136291504
2017-08-17,-0.0,0.004704713821411133,0.00803673267364502,-0.005506455898284912,-0.0009078383445739746,0.008758127689361572,-0.006102800369262695,0.01165926456451416,0.011352598667144775,-0.011494278907775879,-0.008468449115753174,-0.007947742938995361,0.001196146011352539,0.013480126857757568
2017-08-18,-0.0,0.013577401638031006,-0.007593035697937012,-0.006879210472106934,-0.013630151748657227,0.007702767848968506,0.0,-0.009751856327056885,0.004574716091156006,-0.005561232566833496,-0.02830052375793457,-0.007655322551727295,-0.010434150695800781,0.009982168674468994
2017-08-21,0.0,-0.00897228717803955,-0.0363427996635437,-0.019091010093688965,-0.023491501808166504,0.005022883415222168,0.001194000244140625,-0.02148604393005371,0.003053605556488037,-0.01423490047454834,-0.032029807567596436,-0.01453179121017456,-0.008129358291625977,0.0023536086082458496
2017-08-22,-0.0,-0.008892536163330078,-0.020643115043640137,0.0,-0.006603717803955078,-0.0022946596145629883,0.0015332698822021484,-0.003659665584564209,-0.006311535835266113,0.0015472173690795898,0.00284731388092041,-0.002730727195739746,-0.016148686408996582,0.002213597297668457
2017-08-23,-0.0,-0.006911039352416992,0.012160539627075195,0.03083014488220215,0.01282048225402832,-0.014423131942749023,0.01581895351409912,0.02295684814453125,-0.02127528190612793,0.009268760681152344,0.033686280250549316,0.018620014190673828,0.0419003963470459,-0.006042361259460449
2017-08-24,0.0,-0.00835573673248291,0.014417290687561035,0.015538811683654785,-0.0018753409385681152,0.005642056465148926,-0.0030140280723571777,-0.008976638317108154,-0.004094123840332031,-0.008163273334503174,0.01165461540222168,0.004659414291381836,0.014170408248901367,0.002205073833465576
2017-08-28,0.0,-0.0073986053466796875,0.01026451587677002,-0.006910145282745361,0.03006112575531006,-0.0,0.010748982429504395,0.01449275016784668,0.004287302494049072,0.0041152238845825195,0.003742218017578125,-0.0033891797065734863,0.00452733039855957,-0.019715547561645508
2017-08-29,0.0,0.01370936632156372,-0.030480623245239258,-0.004638791084289551,-0.01732790470123291,0.009305477142333984,-0.004652678966522217,-0.014285683631896973,0.01038813591003418,-0.011782824993133545,-0.026536941528320312,-0.008412420749664307,-0.014297962188720703,0.01813673973083496
2017-08-30,0.0,-0.0005956888198852539,-0.0048367977142333984,0.005326271057128906,0.008816719055175781,-0.012829303741455078,0.0026711225509643555,0.006340503692626953,-0.007606625556945801,0.007257699966430664,0.010663866996765137,-0.0014440417289733887,0.013716936111450195,-0.0177457332611084
2017-08-31,-0.0,0.00704503059387207,-0.01215064525604248,0.0014901161193847656,-0.0032198429107666016,-0.004523873329162598,-0.007492482662200928,-0.012601256370544434,-0.0005737543106079102,0.004631996154785156,0.00906527042388916,0.004157662391662598,-0.0018663406372070312,-0.0005421638488769531
2017-09-01,0.0,-0.014389872550964355,0.003280043601989746,0.0024796724319458008,0.017074227333068848,0.004953861236572266,0.0008387565612792969,-0.04375576972961426,-0.021427512168884277,0.016905784606933594,0.004491925239562988,0.0003600120544433594,0.018854737281799316,-0.013348221778869629
2017-09-04,0.0,0.01142740249633789,-0.011033892631530762,-0.015501320362091064,0.013611674308776855,0.009504377841949463,-0.004022717475891113,0.0017467141151428223,0.013473212718963623,-0.01460951566696167,-0.012462377548217773,-0.000359952449798584,-0.021411657333374023,0.006952047348022461
2017-09-05,0.0,-0.0032885074615478516,0.012396693229675293,0.008542656898498535,0.004028677940368652,-0.0025130510330200195,0.001682877540588379,-0.005249381065368652,-0.009164690971374512,0.01073610782623291,0.00675511360168457,-0.004320502281188965,0.01359701156616211,-0.008020997047424316
2017-09-06,-0.0,0.020957469940185547,-0.000408172607421875,-0.008470296859741211,-0.0062416791915893555,-0.0027347803115844727,-0.0075604915618896484,-0.005221962928771973,-2.968311309814453e-05,0.0075871944427490234,-0.03207486867904663,-0.00831669569015503,-0.02798551321029663,-0.008828997611999512
2017-09-07,-0.0,-0.007608771324157715,0.008983254432678223,-0.0008375048637390137,-0.00044858455657958984,-0.0036363601684570312,-0.009141743183135986,0.008657991886138916,-0.011336684226989746,-0.0025100111961364746,-0.0003809332847595215,-0.00018227100372314453,-0.0023001432418823242,-0.0033724308013916016
2017-09-08,-0.0,0.005235612392425537,-0.020639419555664062,-0.010896921157836914,0.0004488229751586914,-0.012001752853393555,-0.002221047878265381,0.018340587615966797,0.004695117473602295,0.0140916109085083,-0.007925689220428467,-0.008752822875976562,-0.018443405628204346,0.00611114501953125
2017-09-11,0.0,0.00020241737365722656,0.004958629608154297,0.0062711238861083984,0.014804840087890625,-0.019914984703063965,-0.004109621047973633,-0.0008896589279174805,-0.05622386932373047,-0.0009925365447998047,0.002227783203125,-0.0031272172927856445,0.01449739933013916,-0.029653429985046387
2017-09-12,-0.0,-0.0052642822265625,0.03371703624725342,0.015832901000976562,0.012820601463317871,-0.006581783294677734,0.0013755559921264648,-0.020444512367248535,0.027550578117370605,0.015399813652038574,0.02422010898590088,0.009226799011230469,0.010777592658996582,-0.004722952842712402
2017-09-13,0.0,-0.005639433860778809,0.014717578887939453,0.003813624382019043,-0.013094723224639893,-0.0034873485565185547,0.002747178077697754,-0.02613234519958496,-0.0016361474990844727,-0.001956939697265625,0.01055145263671875,-0.00018292665481567383,0.013348102569580078,0.006348788738250732
2017-09-14,-0.0,-0.04095733165740967,0.013720154762268066,0.019326090812683105,0.013268470764160156,0.001303255558013916,0.005821943283081055,-0.032258033752441406,0.009170353412628174,-0.012254893779754639,0.01577317714691162,0.0029262304306030273,0.010210394859313965,-0.006824374198913574
2017-09-15,0.0,0.006926357746124268,-0.0027069449424743652,0.004537343978881836,0.00785672664642334,-0.005219697952270508,-0.007150173187255859,0.005756556987762451,0.017006516456604004,-0.002481400966644287,-0.00408250093460083,-0.009846866130828857,-0.0018517374992370605,0.0035105347633361816
2017-09-18,-0.0,-0.016274213790893555,0.0011633634567260742,-0.0014518499374389648,0.012126445770263672,-0.0062743425369262695,0.004801034927368164,-0.004962801933288574,-0.027216315269470215,0.011940240859985352,0.0006587505340576172,-0.004051566123962402,0.0,-0.007642030715942383
2017-09-19,-0.0,0.007244288921356201,-0.006584107875823975,-0.013570249080657959,0.019255399703979492,0.005805253982543945,0.0056313276290893555,0.013991773128509521,-0.0004869699478149414,0.01720750331878662,-0.0058522820472717285,-0.009615421295166016,-0.0030146241188049316,-0.003953456878662109
2017-09-20,-0.0,0.00249636173248291,0.027680277824401855,0.005404472351074219,0.00965571403503418,0.0004324913024902344,-0.013914823532104492,-0.0016694068908691406,0.011480391025543213,-0.011116445064544678,0.006181120872497559,0.008401751518249512,0.014653444290161133,-0.0072863101959228516
2017-09-21,0.0,0.013283312320709229,-0.019726932048797607,-0.013845860958099365,-0.01538461446762085,0.0051926374435424805,-0.019273698329925537,0.013333320617675781,-0.002172112464904785,0.0058650970458984375,-0.02062314748764038,-0.00573962926864624,-0.022541403770446777,-0.0027391910552978516
2017-09-22,-0.0,0.014144957065582275,-0.02708977460861206,-0.043111979961395264,-0.038429081439971924,0.008264422416687012,-0.02754873037338257,0.027871668338775635,0.013033568859100342,-0.006802737712860107,-0.0289725661277771,-0.02476722002029419,-0.045028090476989746,-0.0434955358505249
2017-09-25,0.0,0.007124423980712891,0.005568861961364746,-0.0008630752563476562,-0.02195870876312256,0.013377189636230469,0.008661150932312012,0.016507387161254883,0.0034551620483398438,-0.022015631198883057,-0.00038439035415649414,-0.011838853359222412,0.0016372203826904297,-0.002911388874053955
2017-09-26,0.0,-0.020430564880371094,0.0003955364227294922,0.006392478942871094,0.008980751037597656,0.004000842571258545,0.011627912521362305,-0.009717345237731934,0.004877448081970215,-0.0055027008056640625,-0.007231354713439941,-0.001932382583618164,0.006292819976806641,0.0031980276107788086
2017-09-27,-0.0,0.011036276817321777,-0.03044682741165161,-0.031244635581970215,-0.016021311283111572,0.008926570415496826,-0.022458016872406006,0.013998329639434814,0.015028953552246094,-0.014587581157684326,-0.02929103374481201,-0.03039693832397461,-0.035003662109375,-0.020928561687469482
2017-09-28,-0.0,-0.010863065719604492,0.0,-0.007442891597747803,0.006784319877624512,-0.010583162307739258,-0.0016279816627502441,-0.0,-0.007674098014831543,0.026033759117126465,-0.01428908109664917,0.008586287498474121,0.015485644340515137,-0.006795108318328857
2017-09-29,0.0,0.005177795886993408,-0.006933093070983887,-0.02588820457458496,0.01212930679321289,-0.005793213844299316,0.0023554563522338867,-0.0008873939514160156,-0.0008627176284790039,-0.0029851198196411133,-0.012957632541656494,0.005147457122802734,-0.013591945171356201,-0.0022804737091064453
2017-10-03,-0.0,-0.000982046127319336,-0.002464115619659424,0.0018328428268432617,-0.0013315677642822266,-0.0017722845077514648,0.006507515907287598,0.0008865594863891602,-0.0063904523849487305,0.004491090774536133,0.0041844844818115234,-0.010045289993286133,0.0004200935363769531,0.003000020980834961
2017-10-04,0.0,0.007259845733642578,0.0020585060119628906,-0.004390835762023926,0.005333304405212402,0.006634235382080078,-0.008261442184448242,0.0062111616134643555,-0.0028057098388671875,0.02285146713256836,0.0026962757110595703,0.007560610771179199,-0.005290985107421875,0.013530850410461426
