,weight
ANANTRAJ,0.1
BRIGADE,0.1
DLF,0.1
GODREJPROP,0.1
LODHA,0.1
OBEROIRLTY,0.1
PHOENIXLTD,0.1
PRESTIGE,0.1
SIGNATURE,0.1
SOBHA,0.1
