date,ANANTRAJ,BRIGADE,DLF,GODREJPROP,LODHA,OBEROIRLTY,PHOENIXLTD,PRESTIGE,SIGNATURE,SOBHA
2023-09-27,0.03449082374572754,-0.007813334465026855,0.016144633293151855,-0.005247712135314941,0.0028400421142578125,0.010615110397338867,0.0073168277740478516,0.0006617307662963867,0.0,-0.02771759033203125
2023-09-28,-0.0162198543548584,-0.017690002918243408,-0.01626640558242798,0.027367353439331055,-0.0069620609283447266,-0.0068558454513549805,0.0027103424072265625,-0.005124449729919434,0.0,0.009266257286071777
2023-09-29,0.005724787712097168,-0.010340452194213867,0.020765304565429688,-0.011059761047363281,-0.005594015121459961,0.021638989448547363,-0.019137203693389893,0.0012462139129638672,0.0,-0.044559359550476074
2023-10-03,0.010018229484558105,0.023714542388916016,0.014786124229431152,-0.0010294914245605469,0.014500975608825684,-0.0025554895401000977,0.002480149269104004,0.02572190761566162,-0.0,0.012229681015014648
2023-10-04,-0.013525724411010742,-0.006536722183227539,-0.024129927158355713,-0.0064601898193359375,0.0485190749168396,-0.026315808296203613,-0.003573596477508545,0.012861967086791992,-0.0,0.04716634750366211
2023-10-05,-0.0767824649810791,0.004040122032165527,-0.0014265179634094238,-0.021459341049194336,0.0013331770896911621,-0.026803970336914062,-0.02378058433532715,-0.07227861881256104,0.0,-0.06481552124023438
2023-10-06,0.005942285060882568,0.02322375774383545,-0.04514288902282715,-0.04730045795440674,-0.03998136520385742,0.018834948539733887,0.01791667938232422,0.00536268949508667,0.0,-0.00806283950805664
2023-10-09,0.036080241203308105,0.010898947715759277,0.014306604862213135,0.026477575302124023,0.0023746490478515625,0.0017992258071899414,-0.0003331303596496582,-0.004193425178527832,-0.0,-0.0008646249771118164
2023-10-10,-0.028571367263793945,0.012559771537780762,-0.03864288330078125,-0.0564805269241333,-0.029786348342895508,0.03484201431274414,-0.03593647480010986,-0.08501124382019043,0.0,-0.06911444664001465
2023-10-11,0.01722651720046997,0.006695866584777832,-0.006319522857666016,-0.0027282238006591797,-0.016992568969726562,-0.0032975077629089355,-0.03174102306365967,0.005085945129394531,0.0,0.009292960166931152
2023-10-12,-0.01511836051940918,-0.0002180337905883789,-0.0030957460403442383,0.015079975128173828,0.008538603782653809,-0.001958906650543213,-0.007950901985168457,-0.0003453493118286133,-0.0,0.013730227947235107
2023-10-13,-0.012734770774841309,0.016577601432800293,-0.002380847930908203,0.007758378982543945,-0.003655552864074707,-0.015353083610534668,-0.03866779804229736,0.011048972606658936,0.0,-0.022949695587158203
2023-10-16,-0.021525979042053223,-0.017058193683624268,0.0022872090339660645,-0.007670879364013672,-0.008333802223205566,0.0017719268798828125,-0.04447531700134277,-0.007471561431884766,0.0,-0.024186372756958008
2023-10-17,0.003964126110076904,0.018227458000183105,-8.821487426757812e-05,-0.0037328004837036133,-0.0012243986129760742,0.005615711212158203,-0.010493457317352295,0.009911298751831055,0.0,0.007367432117462158
2023-10-18,-0.005027174949645996,0.005038022994995117,-0.00035250186920166016,0.01850658655166626,0.0038523077964782715,-0.011212706565856934,-0.014909684658050537,-0.025901317596435547,-0.0,0.011663317680358887
2023-10-19,0.017090439796447754,-0.01674485206604004,0.012778699398040771,-0.0011336803436279297,-0.0030077695846557617,0.0002669095993041992,-0.002451479434967041,-0.0020470619201660156,0.0,0.00046938657760620117
2023-10-20,-0.006997466087341309,-0.004664361476898193,0.01410454511642456,0.016867339611053467,0.002386808395385742,-0.022318005561828613,-0.008120536804199219,-0.013006448745727539,0.0,0.03327292203903198
2023-10-23,-0.058538615703582764,-0.016346991062164307,0.03486055135726929,0.011700570583343506,0.038709282875061035,-0.013550996780395508,-0.029516279697418213,-0.0034955739974975586,-0.0,0.02782595157623291
2023-10-25,0.038693785667419434,0.0008864402770996094,0.005253732204437256,0.02956688404083252,0.03171664476394653,-0.005116879940032959,-0.004440009593963623,-0.015340209007263184,0.0,0.01270526647567749
2023-10-26,-0.008828580379486084,-0.0048705339431762695,0.01480722427368164,0.0032553672790527344,0.04270744323730469,-0.008988916873931885,-0.02631288766860962,-0.03496730327606201,-0.0,0.016049683094024658
2023-10-27,0.047577738761901855,-0.034705281257629395,-0.026517391204833984,-0.016076326370239258,-0.015352845191955566,0.027679085731506348,0.03429520130157471,0.046216607093811035,-0.07220733165740967,-0.009845733642578125
2023-10-30,-0.0033181309700012207,0.0010750293731689453,-0.03413224220275879,-0.023186922073364258,-0.03085160255432129,0.01683354377746582,0.01356208324432373,-0.004277467727661133,-0.008027791976928711,7.271766662597656e-05
2023-10-31,0.010819792747497559,0.006457149982452393,-0.01632249355316162,-0.012382984161376953,-0.03624284267425537,0.018210291862487793,-0.008519947528839111,-0.01916682720184326,-0.008937239646911621,-0.0097503662109375
2023-11-01,-0.016467690467834473,-0.010831832885742188,-0.020141959190368652,-0.002771615982055664,-0.0206296443939209,0.023597121238708496,0.043736934661865234,0.020700037479400635,-0.01561129093170166,-0.014124155044555664
2023-11-02,-0.018208444118499756,-0.00803685188293457,-0.005305767059326172,-0.031095147132873535,-0.057590603828430176,0.03932344913482666,0.04369854927062988,0.0036674141883850098,-0.04205524921417236,-0.034320950508117676
2023-11-03,0.03133654594421387,-0.06442010402679443,-0.03106069564819336,-0.03986012935638428,0.000940859317779541,0.017389535903930664,0.013652920722961426,-0.044237732887268066,0.0029004812240600586,-0.02651822566986084
2023-11-06,0.006821036338806152,-0.021871566772460938,0.00646132230758667,-0.021912097930908203,-0.014126777648925781,0.011083483695983887,0.021650195121765137,-0.02621281147003174,-0.028341174125671387,-0.02442777156829834
2023-11-07,0.01211249828338623,0.0215989351272583,-0.000760197639465332,0.03230053186416626,0.02484184503555298,-0.027826786041259766,0.00478518009185791,0.011990964412689209,-0.05309939384460449,0.03266477584838867
2023-11-08,0.0052738189697265625,-0.04095494747161865,-0.005823254585266113,-0.004817008972167969,-0.005713939666748047,0.009210586547851562,0.017008423805236816,-0.05278134346008301,-0.018495798110961914,-0.03754985332489014
2023-11-09,0.0,-0.0010554790496826172,-0.008054971694946289,-0.02377188205718994,-0.005326390266418457,0.028321266174316406,-0.013665974140167236,-0.04287004470825195,-0.022982478141784668,-0.050771355628967285
2023-11-10,-0.0010088682174682617,-0.007860541343688965,-0.008906245231628418,-0.0013221502304077148,-0.005592465400695801,0.0002785921096801758,-0.016471266746520996,-0.005411982536315918,-0.002283453941345215,0.007309675216674805
2023-11-12,0.005453348159790039,-0.010842680931091309,-0.0070950984954833984,-0.011415839195251465,-0.005561351776123047,0.0048143863677978516,-0.009851217269897461,0.0026341676712036133,-0.017197012901306152,-0.009672403335571289
2023-11-13,0.0004017353057861328,0.007903695106506348,0.0031948089599609375,0.009220004081726074,0.010013341903686523,-0.023243844509124756,0.04974627494812012,0.03198021650314331,-0.018784761428833008,-0.006798505783081055
2023-11-15,0.006425738334655762,-0.04704093933105469,-0.022518038749694824,-0.023223280906677246,-0.0029402971267700195,-0.05622899532318115,0.0558241605758667,-0.0351719856262207,-0.02503371238708496,-0.02897477149963379
2023-11-16,0.00818026065826416,0.029076039791107178,-0.013100862503051758,0.005606949329376221,-0.019055962562561035,-0.02345132827758789,-0.0052065253257751465,-0.04532170295715332,0.0011761784553527832,-0.035019755363464355
2023-11-17,0.023352384567260742,-0.03526437282562256,-0.0014280080795288086,-0.005179882049560547,-0.0006328821182250977,-0.005737900733947754,0.03126692771911621,0.03743696212768555,-0.0018010139465332031,0.01804143190383911
2023-11-20,-0.017598092555999756,0.009732306003570557,0.00776362419128418,0.006763637065887451,0.012305200099945068,-0.006078004837036133,0.003981351852416992,-0.015944480895996094,-0.0066375732421875,-0.0006456375122070312
2023-11-21,-0.0025590062141418457,-0.022477030754089355,-0.013093829154968262,-0.021915316581726074,-0.0033184289932250977,-0.042659640312194824,-0.019522428512573242,-0.014236927032470703,-0.02390265464782715,-0.000821232795715332
2023-11-22,0.006315350532531738,0.01388394832611084,0.0029947757720947266,0.015310525894165039,-0.0027271509170532227,0.020865917205810547,-0.012311100959777832,-0.0010499954223632812,0.0019453167915344238,0.004395961761474609
2023-11-23,-0.008629143238067627,-0.015704035758972168,-0.0056912899017333984,0.005129218101501465,-0.015797734260559082,-0.02011251449584961,0.021644234657287598,-0.012200474739074707,-0.01384592056274414,-0.020251989364624023
2023-11-24,-0.00751727819442749,0.016794025897979736,0.010689377784729004,0.006100296974182129,-0.015609025955200195,0.010676562786102295,0.0411381721496582,-0.009053707122802734,0.005966603755950928,-0.006520509719848633
2023-11-28,0.011162042617797852,-0.048892855644226074,0.00031769275665283203,0.0008419156074523926,0.024568140506744385,-0.014712810516357422,0.011041522026062012,-0.03421437740325928,-0.00040018558502197266,0.00040137767791748047
2023-11-29,0.023654699325561523,-0.005772948265075684,-0.013510346412658691,-0.00027179718017578125,0.02162158489227295,0.006700277328491211,-0.029248058795928955,0.004285573959350586,-0.008733272552490234,0.011757254600524902
2023-11-30,0.03350663185119629,-0.04891622066497803,0.018505513668060303,-0.019945621490478516,-0.03644061088562012,7.134675979614258e-05,0.021982789039611816,-0.0528029203414917,-0.004824519157409668,-0.024955034255981445
2023-12-01,-0.01453322172164917,-0.027278661727905273,-0.005432605743408203,0.0021579861640930176,-0.04275834560394287,-0.010136723518371582,-0.005314230918884277,-0.03479909896850586,-0.02512490749359131,-0.04637336730957031
2023-12-04,0.013991236686706543,-0.00691676139831543,-0.0317838191986084,-0.02293539047241211,0.006906688213348389,-0.016783833503723145,0.005597114562988281,-0.06465601921081543,-0.027011394500732422,-0.019913434982299805
2023-12-05,0.013238906860351562,-0.03174102306365967,-0.0013091564178466797,0.004228413105010986,-0.0008214712142944336,-0.0003126859664916992,-0.0371057391166687,0.02221924066543579,0.00324857234954834,0.011407017707824707
2023-12-06,-0.0057048797607421875,0.027779877185821533,-0.004384040832519531,-0.015308022499084473,0.01318669319152832,-0.014174103736877441,-0.015764594078063965,0.007497549057006836,0.0012535452842712402,0.020232975482940674
2023-12-07,0.029613137245178223,0.007320582866668701,0.006662130355834961,0.00043886899948120117,0.006099224090576172,-0.0022608041763305664,0.004805088043212891,-0.05031466484069824,0.004581153392791748,-0.03127741813659668
2023-12-08,0.0044939517974853516,0.02164769172668457,-0.002004384994506836,0.0029444098472595215,-0.023933053016662598,0.010663390159606934,-0.021873831748962402,-0.05349850654602051,0.0044130682945251465,-0.0669783353805542
2023-12-11,0.031674981117248535,-0.0046198368072509766,-0.026465535163879395,0.0032122135162353516,-0.008009076118469238,-0.002280116081237793,0.0019012689590454102,0.007585644721984863,-0.00734555721282959,-0.037186384201049805
2023-12-12,-0.01352989673614502,0.02565556764602661,0.006745636463165283,0.012968063354492188,0.032700955867767334,0.017405986785888672,0.014684677124023438,-0.06390929222106934,-0.004086017608642578,-0.048860132694244385
2023-12-13,0.013012051582336426,-0.009522199630737305,-0.016827702522277832,-0.018483400344848633,-0.007320046424865723,-0.008138060569763184,0.016164302825927734,0.0579296350479126,-0.0027545690536499023,-0.04304379224777222
2023-12-14,0.028988003730773926,-0.048064351081848145,-0.03821897506713867,-0.06584453582763672,-0.04382312297821045,-0.0364300012588501,0.034793972969055176,-0.00124359130859375,6.240606307983398e-05,0.03184986114501953
2023-12-15,0.005566835403442383,-0.0014085769653320312,-0.00829160213470459,0.004535555839538574,0.006377220153808594,0.008493661880493164,-0.02735656499862671,-0.04353421926498413,0.0051822662353515625,0.0145646333694458
