,weight
AARTIIND,0.05
ATUL,0.05
BAYERCROP,0.05
CHAMBLFERT,0.05
COROMANDEL,0.05
DEEPAKNTR,0.05
EIDPARRY,0.05
FLUOROCHEM,0.05
GNFC,0.05
HSCL,0.05
LINDEINDIA,0.05
NAVINFLUOR,0.05
PCBL,0.05
PIIND,0.05
PIDILITIND,0.05
SRF,0.05
SOLARINDS,0.05
SUMICHEM,0.05
TATACHEM,0.05
UPL,0.05
