date,AARTIIND,ATUL,BAYERCROP,CHAMBLFERT,COROMANDEL,DEEPAKNTR,EIDPARRY,FLUOROCHEM,GNFC,HSCL,LINDEINDIA,NAVINFLUOR,PCBL,PIIND,PIDILITIND,SRF,SOLARINDS,SUMICHEM,TATACHEM,UPL
2020-01-27,0.008347034454345703,-0.06986916065216064,-0.0031926631927490234,-0.0487518310546875,0.008380532264709473,0.0008760690689086914,0.01747196912765503,-0.021735429763793945,-0.001273512840270996,0.01362001895904541,0.0002792477607727051,-0.024117588996887207,-0.012986898422241211,-0.024884819984436035,0.013172388076782227,-0.0036200284957885742,-0.015127897262573242,0.0,0.007595956325531006,-0.011129319667816162
2020-01-28,0.051999449729919434,0.0033044815063476562,0.015852689743041992,-0.0016802549362182617,-0.019222736358642578,0.00250089168548584,0.013830900192260742,-0.01189279556274414,0.021939575672149658,0.01308143138885498,-0.021648049354553223,-0.08242344856262207,0.02635324001312256,-0.02343440055847168,-0.010292589664459229,-0.024840116500854492,-0.021372437477111816,0.0,0.0009399652481079102,-0.0005820989608764648
2020-01-29,-0.09619855880737305,-0.0029277801513671875,-0.009897589683532715,0.008666515350341797,-0.0049588680267333984,-0.003991544246673584,-0.01469278335571289,-0.010015010833740234,0.020481228828430176,0.008836507797241211,-0.04545450210571289,-0.03842782974243164,0.010972917079925537,0.021371304988861084,-0.024083256721496582,-0.00039839744567871094,-0.0404200553894043,0.0,-0.011491894721984863,0.009707808494567871
2020-01-30,0.013345420360565186,-0.004943251609802246,-0.0022803544998168945,-0.018894433975219727,-0.004368185997009277,-0.01352536678314209,0.005265474319458008,-0.00024580955505371094,0.05044800043106079,-0.008172273635864258,0.007649540901184082,0.04138076305389404,0.039201200008392334,0.008384287357330322,-0.016034245491027832,-0.009558558464050293,-0.016969799995422363,0.0,-0.00046515464782714844,0.0036535263061523438
2020-01-31,-0.009427189826965332,0.005364358425140381,0.0003630518913269043,-0.0016607046127319336,-0.01779961585998535,-0.026025116443634033,-0.01543891429901123,-0.0021300315856933594,0.004543900489807129,0.030213654041290283,0.015021800994873047,0.041617751121520996,0.03772127628326416,-0.020416855812072754,0.005786478519439697,0.004799842834472656,0.021051406860351562,-0.0,0.008832573890686035,-0.03228276968002319
2020-02-01,0.019794940948486328,0.018540799617767334,-0.002820730209350586,0.049461185932159424,-0.022473633289337158,-0.019812345504760742,0.019113779067993164,0.012835144996643066,0.07584261894226074,-0.0645897388458252,0.010100305080413818,0.013586759567260742,0.03759998083114624,-0.035680949687957764,0.017460346221923828,-0.02530384063720703,-0.006392121315002441,0.0,0.014003396034240723,-0.04355573654174805
2020-02-03,-0.0035212039947509766,-0.002436518669128418,-0.027403831481933594,0.01453489065170288,0.019428491592407227,-0.08882975578308105,0.009743094444274902,0.024679124355316162,-0.09156537055969238,-0.017871618270874023,0.010406136512756348,-0.03622841835021973,0.03158771991729736,0.03183901309967041,-0.05263876914978027,0.02745199203491211,-0.004273414611816406,-0.0,-0.001155257225036621,0.01925063133239746
2020-02-04,0.005985558032989502,-0.0006723403930664062,-0.04380464553833008,-0.023303866386413574,-0.015723049640655518,0.011968731880187988,-0.014087677001953125,-0.022586464881896973,0.020493507385253906,-0.056244850158691406,-0.01065206527709961,0.011283457279205322,-0.053218841552734375,-0.0001614093780517578,0.004348397254943848,-0.012798547744750977,0.0017567873001098633,0.0,0.00766986608505249,0.018074750900268555
2020-02-05,-0.02367103099822998,-0.026904940605163574,-0.0008330345153808594,0.020466983318328857,0.0,-0.009394288063049316,-0.00948178768157959,-0.004151821136474609,0.006557345390319824,-0.009397029876708984,0.009931743144989014,0.010720610618591309,-0.00733494758605957,-0.010459363460540771,0.0038535594940185547,-0.0657578706741333,0.009855270385742188,0.0,-0.019835829734802246,0.028426051139831543
2020-02-06,0.02555781602859497,0.0043784379959106445,-0.012259960174560547,0.01942312717437744,0.014279961585998535,0.02718585729598999,-0.04215824604034424,0.006450057029724121,0.0065146684646606445,0.020170629024505615,0.002320230007171631,-0.0031461715698242188,-0.037216782569885254,0.008514642715454102,0.00038683414459228516,-0.005392551422119141,-0.009913802146911621,0.0,-0.003621697425842285,-0.001163780689239502
