,weight
ULTRACEMCO,0.0625
GRASIM,0.0625
AMBUJACEM,0.0625
SHREECEM,0.0625
JKCEMENT,0.0625
DALBHARAT,0.0625
ACC,0.0625
RAMCOCEM,0.0625
JSWCEMENT,0.0625
NUVOCO,0.0625
INDIACEM,0.0625
JKLAKSHMI,0.0625
STARCEMENT,0.0625
BIRLACORPN,0.0625
PRSMJOHNSN,0.0625
ORIENTCEM,0.0625
