date,ULTRACEMCO,GRASIM,AMBUJACEM,SHREECEM,JKCEMENT,DALBHARAT,ACC,RAMCOCEM,JSWCEMENT,NUVOCO,INDIACEM,JKLAKSHMI,STARCEMENT,BIRLACORPN,PRSMJOHNSN,ORIENTCEM
2025-08-14,0.006773650646209717,-0.006919384002685547,-0.004820525646209717,-0.0003288388252258301,-0.008861660957336426,0.00022017955780029297,-0.002015411853790283,0.000750422477722168,0.0,0.005279362201690674,-0.0,-0.013312101364135742,-0.004348874092102051,-0.01935678720474243,-0.007766544818878174,-0.004300951957702637
2025-08-18,-0.03637254238128662,-0.029295802116394043,0.0207594633102417,-0.030921101570129395,-0.0434192419052124,-0.026648402214050293,-0.034105539321899414,0.019312024116516113,0.0,0.005307435989379883,-0.005557060241699219,-0.054802894592285156,-0.006893515586853027,0.012897133827209473,0.017261862754821777,0.021597743034362793
2025-08-19,-0.007677197456359863,0.006184279918670654,0.0039827823638916016,0.013880014419555664,-0.012730121612548828,-0.0067359209060668945,-0.00867915153503418,-0.0007358193397521973,0.0,-0.01711869239807129,-0.006200313568115234,0.006553947925567627,-0.007603049278259277,0.0035713911056518555,0.021777987480163574,0.0020513534545898438
2025-08-20,-0.0008552074432373047,-0.012940526008605957,-0.0008440017700195312,0.006956815719604492,-0.018990278244018555,0.0008949637413024902,-0.0019359588623046875,0.025862812995910645,-0.0,-0.007978081703186035,0.0080375075340271,0.00026601552963256836,0.01410132646560669,-0.01632368564605713,-0.0028238892555236816,0.0011698007583618164
2025-08-21,0.00031071901321411133,-0.0056896209716796875,-0.005321860313415527,0.002769649028778076,-0.05372065305709839,-0.0019195079803466797,0.007084965705871582,-0.002870917320251465,0.0,-0.011167764663696289,-0.055908203125,-0.0005321502685546875,-0.01665794849395752,0.029807329177856445,0.00573122501373291,0.013353347778320312
2025-08-22,0.021833717823028564,0.023392975330352783,-0.0197027325630188,0.019604623317718506,-0.04107093811035156,0.009578943252563477,0.015568435192108154,-0.03428107500076294,-0.0,0.019193589687347412,0.036961257457733154,0.015956580638885498,0.057398855686187744,-0.010386407375335693,0.0017430782318115234,-0.021124958992004395
2025-08-25,-0.00135040283203125,0.0008530020713806152,0.006670713424682617,-0.0003333091735839844,0.01586019992828369,-0.00906980037689209,0.007358193397521973,-0.009037613868713379,0.0,0.009183347225189209,-0.014342665672302246,-0.005459189414978027,-0.020274043083190918,-0.009955286979675293,-0.005822479724884033,-0.00997018814086914
2025-08-26,-0.0003173351287841797,0.005406558513641357,-0.01411360502243042,-0.003165125846862793,-0.0023023486137390137,-0.004557967185974121,0.0050893425941467285,-0.018898069858551025,-0.0,-0.024715900421142578,-0.0032731294631958008,0.004730641841888428,-0.0017001628875732422,-0.020500481128692627,-0.00457763671875,-0.014574646949768066
2025-08-28,0.007057905197143555,0.004255712032318115,-0.019203901290893555,0.014447033405303955,0.0075719356536865234,0.0028835535049438477,-0.0013900995254516602,-0.008816421031951904,-0.0,-0.00010764598846435547,-0.003653883934020996,0.00826406478881836,0.0054808855056762695,-0.0046155452728271484,-0.003516554832458496,-0.019016027450561523
2025-08-29,-0.009504079818725586,0.0031246542930603027,0.002492070198059082,0.013479351997375488,-0.00565415620803833,-0.021306514739990234,-0.00044417381286621094,0.012085437774658203,0.0,0.017980217933654785,0.007931292057037354,-0.0033767223358154297,-0.013866662979125977,0.0006395578384399414,-0.008415400981903076,-0.045230746269226074
