,weight
DBCORP,0.1
HATHWAY,0.1
NAZARA,0.1
NETWORK18,0.1
PVRINOX,0.1
PFOCUS,0.1
SAREGAMA,0.1
SUNTV,0.1
TIPSMUSIC,0.1
ZEEL,0.1
