,weight
ABBOTINDIA,0.05
ALKEM,0.05
APOLLOHOSP,0.05
AUROPHARMA,0.05
BIOCON,0.05
CIPLA,0.05
DIVISLAB,0.05
DRREDDY,0.05
FORTIS,0.05
GLENMARK,0.05
IPCALAB,0.05
LAURUSLABS,0.05
LUPIN,0.05
MANKIND,0.05
MAXHEALTH,0.05
PPLPHARMA,0.05
SUNPHARMA,0.05
SYNGENE,0.05
TORNTPHARM,0.05
ZYDUSLIFE,0.05
