date,APLAPOLLO,ADANIENT,HINDALCO,HINDCOPPER,HINDZINC,JSWSTEEL,JSL,JINDALSTEL,LLOYDSME,NMDC,NATIONALUM,SAIL,TATASTEEL,VEDL,WELCORP
2023-07-17,0.03270614147186279,-0.013674259185791016,0.0003355741500854492,-0.02081596851348877,-0.01400083303451538,0.00832444429397583,0.013850867748260498,0.005766749382019043,0.0,-0.0030442476272583008,-0.04369211196899414,-0.0038355588912963867,-0.005317211151123047,0.00354611873626709,-0.023774027824401855
2023-07-18,-0.020580291748046875,-0.0034259557723999023,-0.005815267562866211,0.021615028381347656,-0.011267244815826416,0.00908350944519043,0.026004672050476074,0.005957126617431641,-0.0,0.018209457397460938,0.0026301145553588867,0.01419210433959961,0.010130047798156738,0.009094476699829102,0.01435244083404541
2023-07-19,0.03731071949005127,-0.00285947322845459,-0.011923491954803467,0.00125044584274292,0.00921010971069336,-0.001264333724975586,-0.04882919788360596,-0.009383440017700195,0.0,-0.0030912160873413086,0.009669303894042969,-0.005537152290344238,-0.0009056329727172852,-0.008379817008972168,-0.04646587371826172
2023-07-20,0.008625268936157227,0.0016597509384155273,0.005350589752197266,0.0008347630500793457,-0.00030934810638427734,-0.009028911590576172,-0.0006806850433349609,0.004218459129333496,-0.0,0.00770413875579834,-0.0021080970764160156,0.009911894798278809,-0.0022619962692260742,0.005540132522583008,-0.0056285858154296875
2023-07-21,0.01114189624786377,0.0014066100120544434,-0.015966475009918213,-0.0020885467529296875,-0.015472710132598877,0.015768706798553467,-0.011155009269714355,0.014513194561004639,-0.0,-0.0,0.0021036863327026367,-0.002780914306640625,0.0031597018241882324,0.015121400356292725,0.005130589008331299
2023-07-24,0.007018566131591797,-0.0007683038711547852,-0.0035672783851623535,0.01500624418258667,-0.005029082298278809,0.013732552528381348,0.030943095684051514,-0.001990079879760742,0.0,-0.0,-0.0009986162185668945,0.0027731657028198242,0.009690284729003906,-0.027070701122283936,0.001719057559967041
2023-07-25,0.03080570697784424,-0.020047783851623535,-0.03822612762451172,-0.0541684627532959,0.004738569259643555,-0.032102108001708984,-0.03331947326660156,-0.05616915225982666,-0.0,-0.012422323226928711,-0.029372692108154297,-0.02614009380340576,-0.0334705114364624,0.022425174713134766,0.015028119087219238
2023-07-26,0.010378599166870117,-0.0016726255416870117,0.0011123418807983398,-0.012846231460571289,0.005659580230712891,-0.006120800971984863,-0.011151432991027832,0.010681569576263428,-0.0,-0.0015338659286499023,-0.0005383491516113281,0.0005420446395874023,-0.006105661392211914,0.0077173709869384766,0.010966360569000244
2023-07-27,0.007494926452636719,0.01715785264968872,-0.0053452253341674805,-0.012683272361755371,0.0017194747924804688,0.014526069164276123,-0.012755870819091797,-0.003345489501953125,0.0,0.0015314817428588867,0.0016143321990966797,-0.0032538175582885742,0.0013192296028137207,-0.006852149963378906,-0.025871872901916504
2023-07-28,0.021985292434692383,-0.01431417465209961,-0.00022149085998535156,-0.0007827281951904297,-0.0007802844047546387,-0.013102412223815918,-0.033324480056762695,-0.00833582878112793,0.0,-0.003067612648010254,-0.00635981559753418,-0.0021620988845825195,-0.006869196891784668,0.006493568420410156,0.00939851999282837
