date,BANKBARODA,BANKINDIA,MAHABANK,CANBK,CENTRALBK,INDIANB,IOB,PSB,PNB,SBIN,UCOBANK,UNIONBANK
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
2015-01-05,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2015-01-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2015-01-07,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
2015-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
2015-01-12,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-13,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2015-01-14,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2015-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2015-01-19,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
2015-01-20,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-21,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2015-01-22,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2015-01-23,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
2015-01-27,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
2015-01-28,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
2015-01-29,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2015-01-30,-0.11442404985427856,-0.05182921886444092,-0.0,-0.06036722660064697,0.0,-0.06610482931137085,-0.0,-0.0,-0.0,-0.055198729038238525,-0.0,-0.0
2015-02-02,-0.02848917245864868,0.028336048126220703,0.0,0.02692556381225586,-0.0,0.004512190818786621,0.0,0.0,0.0,-0.004693329334259033,0.0,0.0
2015-02-03,-0.01569908857345581,-0.04619896411895752,-0.0,-0.03487807512283325,0.0,-0.022740066051483154,-0.0,-0.0,-0.07795512676239014,-0.023414671421051025,-0.051562607288360596,-0.0
2015-02-04,-0.0009027719497680664,-0.015694797039031982,-0.0,0.03196859359741211,0.0,-0.004021823406219482,-0.0,-0.0,0.001437067985534668,-0.02414250373840332,-0.005354166030883789,-0.0
2015-02-05,-0.04126507043838501,-0.029517054557800293,-0.0,-0.0538753867149353,-0.0,-0.008941471576690674,-0.09784561395645142,-0.0,-0.03222721815109253,-0.007677853107452393,-0.05590057373046875,-0.0
