date,COFORGE,HCLTECH,INFY,LTM,MPHASIS,OFSS,PERSISTENT,TCS,TECHM,WIPRO
2016-07-21,-0.010638296604156494,-0.008904099464416504,-0.0030182600021362305,0.0,-0.0037665367126464844,0.006577968597412109,-0.012187480926513672,0.004449009895324707,-0.00021326541900634766,0.005678892135620117
2016-07-22,-0.005376338958740234,0.007878422737121582,-0.006811678409576416,0.0,0.007087826728820801,-0.022094309329986572,-0.04334068298339844,0.0036072731018066406,-0.0008534789085388184,-0.007700204849243164
2016-07-25,-0.005405426025390625,0.015359282493591309,0.00781095027923584,-0.0,0.005038857460021973,-0.001750171184539795,-0.008793234825134277,0.017438650131225586,0.0074738264083862305,0.009311914443969727
2016-07-26,0.016304373741149902,0.006482958793640137,0.0071833133697509766,-0.0,0.004009246826171875,-0.00015938282012939453,-0.03877365589141846,-0.002485334873199463,-0.012293338775634766,0.00563812255859375
2016-07-27,-0.016042768955230713,0.011137962341308594,-0.003002941608428955,-0.0,-0.012076258659362793,-0.005101203918457031,-0.007523179054260254,0.009778261184692383,0.003648042678833008,0.005606532096862793
2016-07-28,0.016304373741149902,-0.0035833120346069336,-0.007341921329498291,-0.0,0.007536113262176514,-0.05175447463989258,0.001723170280456543,0.016178131103515625,-0.039341509342193604,0.008616328239440918
2016-07-29,-0.03743314743041992,0.0027970075607299805,-0.003224015235900879,0.0,-0.004851222038269043,0.010968923568725586,0.012658238410949707,1.52587890625e-05,0.005341649055480957,-0.016080379486083984
2016-08-01,-0.011111140251159668,-0.03652548789978027,0.010464191436767578,-0.0,-0.007136821746826172,0.03126925230026245,0.010343849658966064,-0.03396320343017578,0.004870414733886719,0.023493289947509766
2016-08-02,-0.005617976188659668,-0.026012301445007324,-0.0013179183006286621,-0.0,0.02542722225189209,0.0030211210250854492,0.006624460220336914,0.0033453702926635742,0.01938760280609131,-0.014471054077148438
2016-08-03,-0.04519772529602051,-0.031722187995910645,0.0011311769485473633,-0.0,0.01646709442138672,-0.004146695137023926,-0.0035566091537475586,0.01589357852935791,-0.0047547221183776855,-0.0030379891395568848
2016-08-04,0.005917191505432129,0.002784132957458496,-0.012241065502166748,0.0,0.008480072021484375,0.008259236812591553,0.012404024600982666,0.001618802547454834,0.0065146684646606445,0.0005079507827758789
2016-08-05,-0.005882382392883301,0.002549111843109131,-0.0034317970275878906,0.0,-0.0462719202041626,-0.03523385524749756,-0.009868502616882324,0.0010935068130493164,-0.010355949401855469,-0.0020304322242736816
2016-08-08,0.0,0.003164231777191162,0.009948372840881348,0.0,-0.03563189506530762,-0.00402224063873291,0.007403016090393066,-0.00015091896057128906,0.018312573432922363,0.0035605430603027344
2016-08-09,-0.017751455307006836,0.0028079748153686523,0.004356861114501953,-0.0,0.012345671653747559,-0.003081679344177246,-0.005369901657104492,-0.00026416778564453125,-0.0023549795150756836,0.0045615434646606445
2016-08-10,-0.018072307109832764,-0.0015915632247924805,-0.0009430646896362305,-0.0,0.030122995376586914,-0.005069136619567871,0.00890207290649414,-0.009508728981018066,-0.01115882396697998,-0.016145288944244385
2016-08-11,0.012269973754882812,-0.007822990417480469,-0.004530906677246094,-0.0,-0.005704641342163086,0.004432201385498047,-0.010179638862609863,-0.01289522647857666,0.006076455116271973,0.0005128383636474609
2016-08-12,-0.006060600280761719,0.01249241828918457,-0.013844072818756104,0.0,0.005462169647216797,-0.005066037178039551,-0.00978076457977295,-0.01053917407989502,-0.0142364501953125,0.0015375614166259766
2016-08-16,0.0,-0.0268976092338562,-0.010000050067901611,-0.0,0.024926066398620605,0.0113028883934021,0.0036689043045043945,0.017075300216674805,-0.022319495677947998,-0.013306021690368652
