date,ABBOTINDIA,AJANTPHARM,ALKEM,AUROPHARMA,BIOCON,CIPLA,DIVISLAB,DRREDDY,GLAND,GLENMARK,IPCALAB,JBCHEPHARM,LAURUSLABS,LUPIN,MANKIND,PPLPHARMA,SUNPHARMA,TORNTPHARM,WOCKPHARMA,ZYDUSLIFE
2023-05-09,-0.024115264415740967,-0.0007430315017700195,-0.029815316200256348,0.0077550411224365234,0.007982015609741211,0.00632166862487793,-0.02948606014251709,-0.005349516868591309,-0.005510568618774414,-0.017136812210083008,-0.005331635475158691,0.006762325763702393,-0.012269020080566406,-0.0177462100982666,0.0,-0.011080384254455566,0.004574477672576904,0.010015249252319336,-0.0069626569747924805,0.0008565187454223633
2023-05-10,-0.024547100067138672,0.008713364601135254,0.008899807929992676,-0.0075713396072387695,0.0012183189392089844,0.005536675453186035,-0.012429118156433105,0.013378620147705078,-0.005193829536437988,0.019223928451538086,-0.007790088653564453,-0.01168513298034668,0.0047882795333862305,-0.006237030029296875,-0.0,-0.014383554458618164,0.003812253475189209,-0.007935762405395508,0.0008764266967773438,-0.001238107681274414
2023-05-11,-0.007227301597595215,0.0001971125602722168,-0.024596750736236572,0.020038723945617676,-0.0018251538276672363,-0.000847160816192627,0.0280417799949646,-0.06887871026992798,0.013398468494415283,0.017896294593811035,0.013541698455810547,0.009831905364990234,0.03337836265563965,-0.02032792568206787,-0.0,-0.015529990196228027,-0.007601141929626465,0.005018472671508789,0.026853442192077637,-0.02254563570022583
2023-05-12,-0.00032961368560791016,0.0041790008544921875,-0.025402724742889404,-0.004617452621459961,-0.00406336784362793,-0.006517529487609863,0.004250228404998779,-0.014563143253326416,0.018709182739257812,-0.05653703212738037,-0.011584043502807617,0.016485154628753662,0.03359782695770264,-0.010647296905517578,0.0,0.025265872478485107,0.005254685878753662,0.0031409859657287598,0.0008528232574462891,-0.00029200315475463867
2023-05-15,-6.598234176635742e-05,-0.0060176849365234375,0.0049430131912231445,-0.007304668426513672,0.011627912521362305,-0.015627503395080566,0.011628806591033936,0.01175546646118164,-0.008870482444763184,0.00815725326538086,-0.00021570920944213867,-0.0033326148986816406,-0.002253413200378418,-0.017644762992858887,-0.0,0.013642549514770508,0.0031380653381347656,-0.009543776512145996,-0.011360406875610352,0.008080244064331055
2023-05-16,-0.0015922784805297852,0.002951502799987793,-0.003502964973449707,-0.045302629470825195,-0.006856203079223633,-0.0007585883140563965,-0.0009003877639770508,-0.0007746219635009766,0.01152867078781128,0.00016456842422485352,-0.0066162943840026855,0.02315354347229004,-0.011723160743713379,-0.004445910453796387,-0.0,0.01798069477081299,0.012644290924072266,-0.025929629802703857,0.0002872943878173828,-0.003186941146850586
2023-05-17,0.0010050535202026367,-0.00592041015625,-0.008700370788574219,-0.034063518047332764,-0.003248751163482666,0.0020062923431396484,0.0034914016723632812,-0.007419705390930176,0.011810719966888428,-0.0016450881958007812,-0.0097733736038208,0.013201355934143066,0.009999990463256836,0.012393295764923096,-0.0,0.004225373268127441,0.005313754081726074,0.020488619804382324,-0.001148819923400879,0.005231618881225586
2023-05-18,-0.011545777320861816,0.0012164115905761719,-0.017036259174346924,-0.03195607662200928,-0.001629650592803955,-0.010227859020233154,0.03503674268722534,-0.013053655624389648,0.0050421953201293945,0.0078015923500061035,-0.012794256210327148,-0.01692509651184082,0.004649698734283447,0.002112865447998047,0.0,0.0007071495056152344,0.006731092929840088,-0.003653109073638916,-0.004025280475616455,-0.02072089910507202
2023-05-19,-0.003438234329223633,-0.022470951080322266,-0.00727534294128418,-0.016255438327789307,-0.01346665620803833,0.0019136667251586914,0.017504334449768066,-0.007008790969848633,-0.19996994733810425,-0.03343820571899414,-0.00022220611572265625,0.008670508861541748,-0.0064432621002197266,0.006287634372711182,-0.0,-0.009907960891723633,0.004087626934051514,0.007181644439697266,-0.020207881927490234,-0.026276886463165283
2023-05-22,-0.022712230682373047,-0.00937497615814209,-0.015096485614776611,0.021523594856262207,-0.005377471446990967,0.009495258331298828,-0.05380368232727051,0.01497030258178711,-0.1614583134651184,0.02931278944015503,0.01059257984161377,0.012968778610229492,0.0009602904319763184,-0.0,-0.0,-0.033637046813964844,-0.01252901554107666,0.00478363037109375,-0.013258695602416992,-0.02334749698638916
2023-05-23,-0.0063163042068481445,0.01484525203704834,0.0017372369766235352,0.0012443065643310547,0.007070064544677734,0.005892276763916016,-0.03699851036071777,0.000616908073425293,0.05355048179626465,-0.004950523376464844,0.01018834114074707,0.00590747594833374,-0.007529616355895996,-0.0031636953353881836,0.0,-0.002711772918701172,0.006240367889404297,0.01272571086883545,0.004180312156677246,-0.0023703575134277344
2023-05-24,0.001771390438079834,-0.00444340705871582,0.016022682189941406,0.0003314018249511719,0.0035102367401123047,0.008168458938598633,0.0007827281951904297,0.013171195983886719,-0.007382631301879883,0.0007389187812805176,-0.006094813346862793,0.016393423080444336,-0.06471610069274902,-0.0014159679412841797,-0.0,0.023664653301239014,-0.022058844566345215,-0.0006208419799804688,0.0056498050689697266,0.0068972110748291016
2023-05-25,-0.017275333404541016,0.0069626569747924805,0.004320025444030762,0.0021533966064453125,-0.012962937355041504,0.007942438125610352,-0.01551806926727295,-0.003374457359313965,-0.011022508144378662,0.0018897056579589844,-0.004672229290008545,-0.07020831108093262,0.004181563854217529,-0.0011568069458007812,0.0,-0.06163442134857178,0.007509350776672363,0.006686091423034668,0.015079736709594727,-0.003472566604614258
2023-05-26,-0.002772212028503418,-0.0017431974411010742,0.006452322006225586,0.01628100872039795,-0.0016677379608154297,0.006240367889404297,-0.022804975509643555,0.005994677543640137,0.005518555641174316,0.026341795921325684,0.0040340423583984375,-0.0045746564865112305,-0.004349112510681152,-0.0014123916625976562,-0.0,-0.051532864570617676,-0.026349186897277832,-0.0006465315818786621,0.0032042264938354492,-0.005042433738708496
2023-05-29,0.00034922361373901367,-0.008275270462036133,0.0007770061492919922,-0.005773723125457764,0.010858297348022461,0.005150556564331055,0.01028740406036377,0.005572676658630371,-0.018993854522705078,-0.005241751670837402,0.0067937374114990234,-0.01811850070953369,0.0005972981452941895,-0.033014893531799316,0.0,0.004962801933288574,0.0014950037002563477,0.0033524036407470703,-0.01713120937347412,-0.0074765682220458984
2023-05-30,-0.007344484329223633,0.0037584304809570312,0.0030611753463745117,-0.06453466415405273,-0.0016525983810424805,0.003764629364013672,0.00570756196975708,-0.00817561149597168,-0.004278123378753662,-0.0015980005264282227,-0.0016688108444213867,-0.007232546806335449,0.008665740489959717,0.0026064515113830566,-0.0,-0.023067355155944824,0.009138345718383789,0.004455089569091797,0.0017725229263305664,0.012303471565246582
2023-05-31,0.014359772205352783,-0.007275938987731934,0.00026798248291015625,-0.012062907218933105,0.014690637588500977,-0.0070844292640686035,0.004164218902587891,-0.003983139991760254,0.018012523651123047,-0.003862619400024414,-0.01889669895172119,0.005810678005218506,0.003165006637573242,-0.0011199712753295898,0.0,0.03168809413909912,-0.016413092613220215,-0.0713430643081665,-0.00560307502746582,0.006821572780609131
2023-06-01,0.00622183084487915,-0.0042040348052978516,0.006176352500915527,-0.0001518726348876953,0.00040781497955322266,0.012276411056518555,-0.023754119873046875,0.011330842971801758,0.009090423583984375,-0.01982426643371582,-0.006491184234619141,-0.005844593048095703,-0.02963411808013916,-0.009509086608886719,0.0,0.00440526008605957,-0.012662172317504883,0.03322803974151611,0.0,-0.022098422050476074
2023-06-02,-0.015025973320007324,-0.006850600242614746,-0.004910767078399658,-0.005768895149230957,-0.020587027072906494,0.0011401176452636719,0.0039144158363342285,0.012851476669311523,-0.010938942432403564,-0.007463932037353516,-0.012331724166870117,-0.0011337995529174805,-0.01629948616027832,-0.005910277366638184,0.0,-0.01201021671295166,-0.012048125267028809,-0.0014930963516235352,-0.0011863112449645996,-0.008959770202636719
2023-06-05,0.0043370723724365234,-0.042789578437805176,0.009498357772827148,0.005433917045593262,0.0047866106033325195,0.009266495704650879,0.014039218425750732,-0.00151824951171875,0.014095902442932129,-0.006350159645080566,-0.015541791915893555,9.435415267944336e-05,0.012714922428131104,-0.0041005611419677734,-0.0,-0.08931910991668701,-0.00915372371673584,0.0012376904487609863,-0.0005937814712524414,0.015250980854034424
2023-06-06,0.00041681528091430664,-0.0228731632232666,-0.002031981945037842,-0.007740139961242676,0.00807797908782959,-0.0028210878372192383,-0.02183520793914795,0.007222771644592285,0.007217288017272949,-0.02176201343536377,-0.03136634826660156,-0.0003775358200073242,-0.0011707544326782227,-0.001645803451538086,0.0,0.02350914478302002,-0.005006194114685059,-0.0072383880615234375,-0.04575157165527344,-0.010488152503967285
2023-06-07,-0.0019589662551879883,-0.027641892433166504,0.005547642707824707,-0.01204824447631836,0.0014382600784301758,-0.011933505535125732,-0.0011872053146362305,0.007979750633239746,0.001061558723449707,-0.04996037483215332,0.002673625946044922,-0.019813179969787598,-0.019880175590515137,0.004868268966674805,-0.0,-0.010569572448730469,-0.0007890462875366211,-0.007801651954650879,0.03323864936828613,0.0006790757179260254
2023-06-08,0.010086536407470703,-0.013518214225769043,0.010109782218933105,0.005208313465118408,-0.008822321891784668,0.0051538944244384766,0.011970341205596924,-0.0051885247230529785,0.009384870529174805,0.022094786167144775,0.013739049434661865,0.01128697395324707,0.004873216152191162,0.007093548774719238,-0.0,0.0011621713638305664,-0.027202844619750977,0.0023584365844726562,-0.010285019874572754,0.004173874855041504
2023-06-09,-0.006740570068359375,0.00979924201965332,-0.008003950119018555,-0.0013463497161865234,-0.001862943172454834,0.003987908363342285,0.020273149013519287,0.003710031509399414,0.008089542388916016,0.01904696226119995,0.010668635368347168,-0.010292887687683105,0.01915597915649414,0.006712973117828369,0.0,0.0034903287887573242,-0.0030901432037353516,-0.004533290863037109,0.003199458122253418,0.010137438774108887
2023-06-12,-0.0077669620513916016,0.011305034160614014,-0.019622206687927246,0.008515119552612305,-0.008295297622680664,-0.009595036506652832,-0.00282895565032959,0.001928567886352539,-0.004272818565368652,-0.003930449485778809,-0.003571629524230957,0.008983910083770752,-0.008516907691955566,-0.015501022338867188,-0.0,-0.009340286254882812,0.0015244483947753906,-0.00022149085998535156,-0.04114377498626709,-0.004431366920471191
2023-06-13,-0.008893251419067383,-0.020818114280700684,0.012531757354736328,-0.02696990966796875,0.0002090930938720703,-0.022449016571044922,-0.01432335376739502,0.005614042282104492,0.04003345966339111,-0.0163651704788208,-0.005885958671569824,-0.00696253776550293,-0.04863142967224121,0.0017706751823425293,0.0,-0.036437273025512695,0.0026891231536865234,-0.0054253339767456055,-0.024103164672851562,-0.015000104904174805
2023-06-14,0.005280792713165283,-0.004800558090209961,-0.0048975348472595215,0.017385542392730713,0.0008363723754882812,0.0028527379035949707,0.0005017518997192383,-0.0006380677223205566,0.007446885108947754,0.017796576023101807,-0.02449476718902588,-0.010302186012268066,0.0030547380447387695,-0.0015902519226074219,-0.06544184684753418,0.006138324737548828,-0.0014168024063110352,-0.00845193862915039,-0.03229343891143799,-0.028397440910339355
2023-06-15,-0.01787090301513672,0.011893093585968018,0.006389141082763672,-0.023366928100585938,0.01733863353729248,-0.019924402236938477,-0.02728092670440674,-0.022238850593566895,0.007341980934143066,-0.007843732833862305,0.005300998687744141,0.007027745246887207,-0.021587729454040527,-0.01954197883605957,-0.0011723041534423828,-0.010668158531188965,0.0017229318618774414,-0.004204154014587402,-0.023329734802246094,-0.03155827522277832
2023-06-16,-0.012435078620910645,-0.007406949996948242,0.0013405084609985352,0.0040853023529052734,0.00574946403503418,-0.007864117622375488,0.0004048943519592285,-0.023212194442749023,0.0005949735641479492,-0.0,0.02039813995361328,-0.04417610168457031,-0.0032720565795898438,0.005151212215423584,-0.0006163120269775391,-0.026666641235351562,0.0036422014236450195,-0.010330557823181152,-0.11502587795257568,-0.0034598112106323242
2023-06-19,-0.01681971549987793,-0.0035400390625,0.0010739564895629883,0.006665647029876709,-0.0002040863037109375,-0.005168795585632324,-0.001438736915588379,0.007324516773223877,0.014568209648132324,0.0031908750534057617,-0.010471165180206299,-0.039649128913879395,0.009376287460327148,0.0063820481300354,-0.047362446784973145,0.006493508815765381,0.009878993034362793,0.00024211406707763672,-0.09131050109863281,-0.005625724792480469
2023-06-20,0.004182994365692139,-0.0005766153335571289,-0.005495846271514893,-0.00427699089050293,0.0006126165390014648,9.888410568237305e-05,0.005174696445465088,-0.004560351371765137,-0.0017094016075134277,-0.0053871870040893555,0.0048787593841552734,-0.018748879432678223,-0.0027434825897216797,-0.005756497383117676,-0.027255892753601074,0.008169949054718018,-0.009832262992858887,-0.001238107681274414,0.013412833213806152,-0.0034285783767700195
