date,BRITANNIA,COLPAL,DABUR,EMAMILTD,GODREJCP,HINDUNILVR,ITC,MARICO,NESTLEIND,PATANJALI,RADICO,TATACONSUM,UBL,UNITDSPR,VBL
2020-01-27,0.005732178688049316,-0.020833969116210938,0.014585375785827637,0.03451353311538696,-0.01548004150390625,0.00595545768737793,-0.014765739440917969,-0.006313323974609375,0.00571209192276001,0.0,-0.02209937572479248,0.0057909488677978516,0.010861873626708984,0.004151463508605957,0.001324474811553955
2020-01-28,-0.0022209882736206055,-0.00043839216232299805,0.009732425212860107,0.01879817247390747,-0.0018298625946044922,0.0003638267517089844,-0.01653742790222168,-0.009751737117767334,0.015958130359649658,0.0,-0.018018007278442383,0.004368603229522705,-0.01217043399810791,-0.13930869102478027,0.01923084259033203
2020-01-29,-0.010357499122619629,0.0013155937194824219,-0.006551980972290039,-0.0023555755615234375,0.006042838096618652,-0.006599903106689453,-0.025748729705810547,-0.028797388076782227,-0.029320240020751953,0.0,0.027560055255889893,-0.007179975509643555,0.0019974112510681152,0.03216958045959473,0.028397560119628906
2020-01-30,0.0010889172554016113,-0.059362590312957764,-0.026139140129089355,0.05968976020812988,-0.07741105556488037,0.007761955261230469,0.011014342308044434,0.020449578762054443,0.021930932998657227,0.0,-0.041211605072021484,0.004884481430053711,0.014128148555755615,0.0004725456237792969,-0.06610995531082153
2020-01-31,0.0031145811080932617,-0.0483165979385376,-0.03550910949707031,0.0179939866065979,-0.015874147415161133,0.01158839464187622,-0.0044029951095581055,-0.06618303060531616,0.010309278964996338,0.0,0.010238468647003174,-0.004775881767272949,-0.00632929801940918,0.02442866563796997,0.016393423080444336
2020-02-01,-0.03221166133880615,-0.016709983348846436,0.018860340118408203,-0.018154025077819824,-0.012041985988616943,-0.01998269557952881,-0.06859201192855835,-0.03393059968948364,-0.010677099227905273,0.0,0.02245485782623291,0.02812260389328003,-0.012460470199584961,-0.006219625473022461,-0.0021993517875671387
2020-02-03,-0.042758941650390625,0.03394949436187744,-0.02179276943206787,0.0008332133293151855,0.0041381120681762695,-0.050147056579589844,-0.05204880237579346,0.0064008235931396484,-0.049987077713012695,0.0,0.0003871917724609375,-0.01670980453491211,0.012228965759277344,0.0018463134765625,0.04041147232055664
2020-02-04,-0.0007585287094116211,0.0064411163330078125,-0.012776613235473633,-0.0026684999465942383,-0.01910686492919922,0.010716080665588379,0.0385514497756958,0.0021200180053710938,-0.009570479393005371,0.0,-0.019493937492370605,-0.002805948257446289,-0.01882767677307129,-0.03675401210784912,0.03531074523925781
2020-02-05,-0.007254481315612793,0.009636640548706055,-0.015496134757995605,-0.02162337303161621,0.010388851165771484,-0.002180337905883789,0.0039370059967041016,0.014157891273498535,0.004375278949737549,0.0,-0.025072813034057617,-0.03864085674285889,-0.019527912139892578,-0.012722015380859375,-0.024556636810302734
2020-02-06,0.001151740550994873,0.00903463363647461,0.002934575080871582,0.012699425220489502,-0.014213323593139648,0.0018053650856018066,-0.01344531774520874,-0.01813220977783203,0.006103515625,0.0,-0.005558967590332031,0.006414353847503662,-0.022809505462646484,-0.002221345901489258,-0.03496503829956055
2020-02-07,0.0002459883689880371,-0.010289549827575684,-0.007848620414733887,0.009564697742462158,-0.00789940357208252,-0.001646280288696289,-0.0008518695831298828,0.018793940544128418,-0.002701997756958008,0.0,-0.019656062126159668,-0.011878609657287598,0.01649296283721924,-0.0343167781829834,-0.08623182773590088
2020-02-10,0.02946418523788452,-0.0016051530838012695,0.0015575885772705078,0.023476481437683105,-0.02465987205505371,0.0003008842468261719,-0.013356029987335205,-0.009785115718841553,0.00955420732498169,0.0,0.020361483097076416,0.011101186275482178,0.019116461277008057,-0.01662600040435791,0.01534348726272583
2020-02-11,0.006623208522796631,-0.013665080070495605,0.007701992988586426,0.0006820559501647949,-0.024015188217163086,0.0030797719955444336,0.009792566299438477,-0.012149691581726074,0.010882973670959473,0.0,-0.014266490936279297,0.0043871402740478516,0.004399478435516357,0.024204134941101074,0.02439028024673462
2020-02-12,-0.0006699562072753906,-0.0005556344985961914,-0.021615266799926758,0.0010236501693725586,-0.04295921325683594,-0.050031423568725586,0.0019965171813964844,0.002295851707458496,-0.01887977123260498,0.0,-0.03455805778503418,-0.011664032936096191,0.005077958106994629,-0.031433820724487305,-0.005555629730224609
2020-02-13,0.000510096549987793,-0.002668619155883789,0.013848841190338135,0.023569583892822266,0.009032249450683594,-0.01019740104675293,-0.005123794078826904,-0.007198989391326904,-0.00699460506439209,0.0,-0.019456148147583008,0.006533384323120117,-0.004363536834716797,-0.026070713996887207,-0.01381218433380127
2020-02-14,0.012295901775360107,-0.0037906765937805176,0.012873053550720215,0.03515833616256714,0.016107499599456787,0.012415647506713867,-0.019742488861083984,-0.00395512580871582,0.0034121274948120117,0.0,0.029776930809020996,-0.011089563369750977,0.001978278160095215,0.009642481803894043,0.007493257522583008
2020-02-17,0.004052698612213135,-0.005931556224822998,0.010175824165344238,-0.031000733375549316,0.0005589723587036133,0.001086413860321045,-0.01401054859161377,-0.01853078603744507,-0.01418447494506836,0.0,0.022514522075653076,-0.040045857429504395,0.00995028018951416,0.00476151704788208,0.017158567905426025
2020-02-18,0.005722939968109131,-0.00499117374420166,-0.007186293601989746,0.03622305393218994,0.007990419864654541,0.0080796480178833,-0.004736483097076416,0.010620355606079102,0.01109236478805542,0.0,-0.017214179039001465,0.002524256706237793,0.00325852632522583,-0.031276702880859375,-0.003491640090942383
2020-02-19,-0.005152583122253418,0.020894646644592285,-0.006936907768249512,0.005473434925079346,-0.0029802322387695312,-0.025845885276794434,0.013979673385620117,0.0003336668014526367,-0.023165106773376465,0.0,-0.038731932640075684,0.0030480623245239258,-0.013352274894714355,-0.011078834533691406,0.012526094913482666
