date,AXISBANK,BANDHANBNK,FEDERALBNK,HDFCBANK,ICICIBANK,IDFCFIRSTB,INDUSINDBK,KOTAKBANK,RBLBANK,YESBANK
2018-03-27,0.009659051895141602,0.0,0.0070999860763549805,0.00042241811752319336,-0.007988691329956055,-0.026315808296203613,0.016167044639587402,0.010101079940795898,0.02612626552581787,-0.0004944801330566406
2018-03-28,-0.0033190250396728516,-0.0,0.018701910972595215,0.0035926103591918945,0.019549071788787842,0.028717994689941406,0.004781365394592285,-0.0019047260284423828,0.005553245544433594,-0.0044481754302978516
2018-04-02,-0.02242898941040039,0.0,-0.011210799217224121,-0.023966073989868164,-0.059277892112731934,-0.012671589851379395,0.004369020462036133,-0.04627859592437744,0.010003089904785156,-0.004592418670654297
2018-04-03,0.0050095319747924805,0.0,-0.014966845512390137,0.007870733737945557,0.03131556510925293,-0.01668405532836914,0.013908863067626953,-0.0063838958740234375,0.00020635128021240234,-0.022367358207702637
2018-04-04,-0.018542468547821045,0.0,0.0016384720802307129,0.01711905002593994,-0.005184173583984375,0.010256409645080566,-0.016587376594543457,0.022655189037322998,0.009076833724975586,0.02443307638168335
2018-04-05,0.022041678428649902,0.0,-0.022975921630859375,-0.013593912124633789,0.037223100662231445,-0.025906682014465332,0.020896434783935547,-0.03708851337432861,0.015026092529296875,-0.02488124370574951
2018-04-06,-0.0057642459869384766,-0.0,-0.040106892585754395,-0.00754392147064209,0.007177472114562988,-0.007070660591125488,-0.006968021392822266,-0.0004470348358154297,-0.004833817481994629,-0.0046318769454956055
2018-04-09,0.03818464279174805,0.0,-0.012853503227233887,-0.008319497108459473,0.0007126331329345703,-0.010030031204223633,0.019707798957824707,0.0008936524391174316,0.003946542739868164,-0.005564332008361816
2018-04-10,-0.0517042875289917,0.0,0.017766475677490234,0.009488403797149658,0.02830684185028076,0.014895737171173096,-0.006531894207000732,0.004025101661682129,0.009978890419006348,-0.009486198425292969
2018-04-11,0.011626899242401123,0.0,-0.024289369583129883,0.0010412335395812988,-0.014716088771820068,0.0040321946144104,0.0042209625244140625,-0.01122581958770752,0.008083820343017578,0.02270948886871338
2018-04-12,-0.01658022403717041,0.0,0.004540860652923584,-0.005211591720581055,0.0077315568923950195,0.010121464729309082,0.0011047124862670898,-0.007548809051513672,-0.010097980499267578,0.0008012652397155762
2018-04-13,0.011298418045043945,-0.0,-0.0,0.002073824405670166,0.005231022834777832,-0.0010224580764770508,0.0018839836120605469,-0.014543890953063965,0.002900242805480957,0.0070569515228271484
2018-04-16,0.00027638673782348633,-0.0,0.002534210681915283,-0.008935928344726562,-0.002254962921142578,-0.0020428895950317383,0.0017998218536376953,-0.01824498176574707,0.017151951789855957,-0.0025844573974609375
2018-04-17,0.018436551094055176,-0.0,-0.009654402732849121,-0.0032955408096313477,0.014429688453674316,-0.0020388364791870117,0.001179814338684082,0.005972683429718018,0.005196094512939453,0.007894337177276611
2018-04-18,0.02657783031463623,-0.0,0.00150984525680542,0.008006572723388672,-0.0058269500732421875,-0.0061037540435791016,-0.01245415210723877,0.009442031383514404,-0.005071759223937988,-0.0053588151931762695
2018-04-19,0.010323166847229004,0.0,0.01008063554763794,-0.0033111572265625,-0.0015513896942138672,0.002022266387939453,-0.005776762962341309,-0.0,-0.002254664897918701,-0.028913021087646484
2018-04-20,0.014037847518920898,-0.0,0.014256536960601807,-0.008663415908813477,-0.025725185871124268,0.014184355735778809,-0.010965943336486816,0.0008665323257446289,-0.0030457377433776855,0.031240224838256836
2018-04-23,-0.0009887218475341797,0.0,-0.003615736961364746,0.010429441928863525,-0.00974661111831665,0.0030832886695861816,-0.03395211696624756,-0.013876795768737793,-0.00965803861618042,-0.01458430290222168
2018-04-24,0.002666950225830078,-0.0,-0.0030879974365234375,0.0002066493034362793,0.016821861267089844,0.014433026313781738,-0.001600503921508789,0.0025663375854492188,0.018310189247131348,-0.034978508949279785
2018-04-25,0.012776076793670654,0.0,0.015392482280731201,0.007441043853759766,-0.01830345392227173,0.008368134498596191,0.015793144702911377,-0.0017153024673461914,0.018469572067260742,-0.0038579702377319336
2018-04-26,0.00932985544204712,0.0,-0.011985421180725098,-0.004997849464416504,-0.0001792311668395996,0.004219412803649902,-0.018481969833374023,-0.014982819557189941,-0.0014392733573913574,-0.08347427845001221
2018-04-27,-0.09205067157745361,0.0,-0.011843442916870117,0.0037298202514648438,0.032454729080200195,-0.015889883041381836,-0.0014878511428833008,-0.0029523372650146484,-0.03324699401855469,0.00993192195892334
2018-04-30,0.04061579704284668,0.0,-0.0005089044570922852,-0.011023283004760742,-0.012851595878601074,-0.00834202766418457,-0.007056832313537598,-0.01850295066833496,0.01320570707321167,-0.037546634674072266
2018-05-02,-0.012468576431274414,0.0,-0.007121086120605469,-0.012960314750671387,-0.025686204433441162,0.011375367641448975,0.0156480073928833,-0.03798508644104004,0.022995054721832275,0.02140885591506958
2018-05-03,-0.0184248685836792,-0.0,0.014646410942077637,0.0008123517036437988,0.01805710792541504,0.021966516971588135,-0.0052721500396728516,0.018695294857025146,-0.004244208335876465,0.0008468031883239746
