date,AXISBANK,BSE,BAJFINANCE,BAJAJFINSV,CHOLAFIN,HDFCBANK,HDFCLIFE,ICICIBANK,ICICIGI,ICICIPRULI,JIOFIN,KOTAKBANK,LICHSGFIN,MUTHOOTFIN,PFC,RECLTD,SBILIFE,SHRIRAMFIN,SBIN
2023-08-21,-0.010126709938049316,0.029513835906982422,-0.027696847915649414,0.012430191040039062,-0.027434945106506348,-0.0007543563842773438,0.0012780427932739258,0.004786133766174316,-0.0011671781539916992,9.298324584960938e-05,0.0,0.005425453186035156,-0.01643502712249756,0.01622903347015381,-0.0058193206787109375,-0.01811206340789795,0.0030409693717956543,-0.012496590614318848,-0.002181708812713623
2023-08-22,-0.004671454429626465,0.011804342269897461,-0.0028368234634399414,-0.0071027278900146484,-0.016748785972595215,-0.00427776575088501,-0.01711583137512207,-0.00335007905960083,0.003497600555419922,0.018602967262268066,-0.0,0.0014200210571289062,-0.005587935447692871,-0.004794955253601074,-0.011339902877807617,0.0023021697998046875,-0.006413459777832031,-0.0009493827819824219,-0.005597352981567383
2023-08-23,-0.02319633960723877,0.014999985694885254,-0.007072091102600098,0.0015668869018554688,-0.022685527801513672,0.0024007558822631836,0.004167616367340088,-0.015598654747009277,0.003359079360961914,0.0031048059463500977,-0.0,0.009642601013183594,-0.00023651123046875,0.0072470903396606445,-0.0009152889251708984,-0.007132411003112793,-0.010491490364074707,-0.003929615020751953,0.014775753021240234
2023-08-24,-0.002144455909729004,-0.009852230548858643,-0.0028090476989746094,-0.0010203123092651367,0.0012885332107543945,-0.004664063453674316,0.00426405668258667,-0.0021719932556152344,-0.010944128036499023,-0.008193016052246094,-0.0,0.000561833381652832,0.0034279227256774902,0.0005137920379638672,0.009830772876739502,-0.014371991157531738,0.004999041557312012,-0.012552261352539062,8.666515350341797e-05
2023-08-25,-0.0017832517623901367,-0.0016583800315856934,-0.0098038911819458,-0.024036526679992676,0.0026267170906066895,-0.011144876480102539,0.0034893155097961426,-0.001496434211730957,0.006742596626281738,0.006057858467102051,0.0,-0.0011230111122131348,0.010200440883636475,-0.004741370677947998,0.002308964729309082,0.017248451709747314,-0.0020483732223510742,0.005998373031616211,-0.012132763862609863
2023-08-28,-0.0072220563888549805,0.004983425140380859,-0.0034674406051635742,0.002659738063812256,-0.0099334716796875,0.010374069213867188,0.0015120506286621094,-0.0001544952392578125,-0.0011690855026245117,0.0001825094223022461,-0.0,0.006464362144470215,-0.006590723991394043,0.02266871929168701,-0.007405638694763184,-0.016506433486938477,0.0037410855293273926,0.0013410449028015137,0.005088090896606445
2023-08-29,0.00959402322769165,0.003305792808532715,-0.00760197639465332,-0.002366781234741211,-0.005581259727478027,0.007985830307006836,-0.012034773826599121,0.0028849244117736816,0.004633307456970215,0.018060684204101562,0.0,-0.0041887760162353516,-0.007857084274291992,0.008501529693603516,0.007580935955047607,-0.004522085189819336,-0.004374504089355469,-0.005639910697937012,0.0034912824630737305
2023-08-30,-0.0027021169662475586,-0.06260299682617188,0.0027434825897216797,0.0012969970703125,-0.015513300895690918,-0.007293760776519775,-0.003386259078979492,0.009144902229309082,-0.0014003515243530273,0.0035839080810546875,0.0,-0.00448685884475708,0.00531536340713501,-0.008699297904968262,-0.010648131370544434,-0.0030694007873535156,-0.0026210546493530273,-0.006275773048400879,-0.012959837913513184
2023-08-31,0.01001673936843872,-0.09767436981201172,0.015130698680877686,0.008391618728637695,-0.005151867866516113,-0.004687130451202393,-0.012086987495422363,0.0001564621925354004,0.007067084312438965,0.006874442100524902,0.0,-0.009014129638671875,-0.005462527275085449,-0.02120143175125122,-0.046495676040649414,0.02631586790084839,0.006189405918121338,-0.023487329483032227,-0.010662734508514404
2023-09-01,-0.01813054084777832,-0.06073451042175293,-0.0223463773727417,-0.017193913459777832,-0.006239652633666992,0.0021636486053466797,0.005273401737213135,-0.010378122329711914,-0.021047472953796387,-0.0037241578102111816,0.0,0.006822109222412109,-0.02326679229736328,0.0007140636444091797,-0.010809540748596191,-0.0006285905838012695,-0.021662592887878418,0.008427321910858154,0.014607667922973633
2023-09-04,0.008979499340057373,-0.05459392070770264,0.006830573081970215,0.00290524959564209,0.02205789089202881,0.006222963333129883,0.002026975154876709,0.0013936758041381836,-0.0124129056930542,-0.014684915542602539,0.0,-0.00508195161819458,-0.03370261192321777,0.013320207595825195,0.02646923065185547,-0.02010047435760498,-0.005906581878662109,0.009414255619049072,0.01053464412689209
2023-09-05,0.0008144378662109375,0.0012626051902770996,-0.01031637191772461,-0.00023174285888671875,0.006521999835968018,-0.0061844587326049805,-0.0014061927795410156,-0.001085519790649414,0.008615553379058838,-0.03016895055770874,0.0,0.005107879638671875,-0.007257699966430664,0.003872990608215332,-0.007807016372680664,0.01354682445526123,0.014228224754333496,-0.010295748710632324,-0.004430532455444336
2023-09-06,0.016709983348846436,-0.016434907913208008,-0.0061266422271728516,-0.005130887031555176,-0.0073854923248291016,-0.01320803165435791,-0.010297179222106934,0.01125568151473999,0.0009284615516662598,0.005215644836425781,-0.0,-0.0002823472023010254,0.003990650177001953,-0.004286825656890869,-0.017644226551055908,0.023512303829193115,-0.00790417194366455,0.010974705219268799,-0.004363000392913818
2023-09-07,-0.01362621784210205,-0.03731346130371094,0.004059553146362305,-0.0008893013000488281,-0.022084474563598633,-0.009526252746582031,-0.01420736312866211,-0.008511781692504883,-0.003828763961791992,0.013897895812988281,-0.0,0.010448932647705078,-0.003895401954650879,-0.0005088448524475098,-0.055825233459472656,-0.04645216464996338,-0.020987987518310547,-0.0006605386734008789,0.014986872673034668
2023-09-08,-0.0021467208862304688,-0.058753013610839844,-0.006793498992919922,-0.01411592960357666,-0.04135489463806152,-0.007822155952453613,-0.0010658502578735352,-0.005074262619018555,0.0008887052536010742,0.017454028129577637,0.0,0.002235889434814453,-0.004323720932006836,0.005756378173828125,-0.12229883670806885,-0.10018324851989746,0.00448983907699585,-0.03168320655822754,0.0075986385345458984
2023-09-11,-0.020503997802734375,-0.03397512435913086,0.0026990771293640137,-0.005645632743835449,-0.007185697555541992,-0.005174398422241211,-0.017035484313964844,-0.007933616638183594,-0.013083815574645996,-0.03565645217895508,-0.0,0.008365869522094727,-0.004194736480712891,0.009616971015930176,-0.0034821033477783203,-0.0011105537414550781,-0.006485581398010254,-0.0017914772033691406,0.014140009880065918
2023-09-12,-0.0004998445510864258,-0.05257391929626465,-0.005412697792053223,0.004678308963775635,0.015493035316467285,-0.0030641555786132812,0.01151573657989502,-0.012522339820861816,0.011817216873168945,-0.03815799951553345,-0.0,0.0016592741012573242,-0.03385728597640991,-0.01924341917037964,-0.0761379599571228,-0.08171570301055908,0.002703428268432617,0.0235024094581604,-0.005661725997924805
