,weight
AXISBANK,0.05263157894736842
BSE,0.05263157894736842
BAJFINANCE,0.05263157894736842
BAJAJFINSV,0.05263157894736842
CHOLAFIN,0.05263157894736842
HDFCBANK,0.05263157894736842
HDFCLIFE,0.05263157894736842
ICICIBANK,0.05263157894736842
ICICIGI,0.05263157894736842
ICICIPRULI,0.05263157894736842
JIOFIN,0.05263157894736842
KOTAKBANK,0.05263157894736842
LICHSGFIN,0.05263157894736842
MUTHOOTFIN,0.05263157894736842
PFC,0.05263157894736842
RECLTD,0.05263157894736842
SBILIFE,0.05263157894736842
SHRIRAMFIN,0.05263157894736842
SBIN,0.05263157894736842
