date,ATGL,AEGISLOG,BPCL,CASTROLIND,GAIL,HINDPETRO,IOC,IGL,MGL,ONGC,OIL,PETRONET,RELIANCE
2018-11-05,0.0,-0.0018193721771240234,-0.037735939025878906,-0.010263681411743164,0.006361961364746094,0.033923327922821045,-0.06316715478897095,-0.007807016372680664,-0.0022507905960083008,-0.015465736389160156,-0.014936506748199463,0.025901734828948975,-0.014249444007873535
2018-11-06,0.0,0.006356358528137207,-0.02480989694595337,0.0176050066947937,0.008850336074829102,0.0339694619178772,-0.025469183921813965,0.04014080762863159,0.005496084690093994,0.006783246994018555,0.0022745132446289062,0.016650080680847168,-0.012702107429504395
2018-11-09,0.0,0.016221165657043457,0.044316768646240234,-0.03300750255584717,-0.021752774715423584,-0.07704460620880127,0.03796422481536865,-0.008804082870483398,-0.004337906837463379,0.0021276473999023438,0.0049169063568115234,-0.05003786087036133,0.015490591526031494
2018-11-12,-0.0,-0.018578767776489258,-0.02003931999206543,0.02495884895324707,-0.007686614990234375,0.07740283012390137,-0.05539357662200928,-0.001454472541809082,-0.0164487361907959,-0.0021231770515441895,-0.001129150390625,0.03008425235748291,0.012376487255096436
2018-11-13,0.0,0.008663952350616455,0.043704867362976074,-0.013361573219299316,0.0016598701477050781,-0.03976142406463623,0.05583620071411133,0.012345671653747559,0.0049479007720947266,0.0028368234634399414,0.0116804838180542,-0.02233254909515381,-0.018068790435791016
2018-11-14,0.0,-0.0025298595428466797,0.04571652412414551,-0.01852881908416748,-0.036457359790802,-0.054302096366882324,0.034148335456848145,0.005882382392883301,0.014742076396942139,0.028995752334594727,0.008193731307983398,0.009465992450714111,0.00133591890335083
2018-11-15,0.0,-0.02064692974090576,0.02020573616027832,0.008312344551086426,-0.014714300632476807,-0.025389909744262695,0.009764790534973145,-0.005177497863769531,-0.015972018241882324,-0.013402044773101807,0.0014775991439819336,0.0365106463432312,0.0010510087013244629
2018-11-16,-0.0,0.01798158884048462,0.0003600120544433594,-0.008381962776184082,-0.016291677951812744,0.02476125955581665,-0.026593685150146484,0.014348745346069336,0.01291567087173462,-0.01567399501800537,-0.020287692546844482,-0.012716174125671387,-0.02783358097076416
2018-11-19,-0.0,-0.0176241397857666,0.0028798580169677734,0.014580607414245605,-0.023067891597747803,-0.0029016733169555664,-0.006274580955505371,0.004106044769287109,-0.005210161209106445,-0.011677324771881104,0.007530093193054199,0.0005022883415222168,-0.02010047435760498
2018-11-20,0.0,-0.015519499778747559,-0.00035893917083740234,-0.02959275245666504,0.02916240692138672,0.005063295364379883,-0.029334306716918945,0.0022487640380859375,-0.017139792442321777,-0.008950948715209961,0.010463356971740723,0.003266274929046631,0.010946929454803467
2018-11-21,0.0,-0.005537152290344238,0.012567281723022461,-0.008461475372314453,0.0032355785369873047,-0.012722611427307129,0.02195417881011963,0.001502692699432373,0.005443274974822998,-0.009392976760864258,-0.0007395744323730469,0.003529191017150879,0.02158266305923462
2018-11-22,0.0,-0.0006607770919799805,-0.02127659320831299,0.03336215019226074,-0.00097733736038208,0.014357507228851318,-0.028378307819366455,0.0018811225891113281,0.00046581029891967773,0.0036469697952270508,0.01221311092376709,0.01315450668334961,0.00904989242553711
2018-11-26,-0.0,-0.002641439437866211,0.02427542209625244,-0.027486801147460938,-0.015065550804138184,-0.016751646995544434,-0.01105499267578125,-0.005277156829833984,0.020970463752746582,-0.03670060634613037,-0.025959789752960205,-0.03998970985412598,-0.006278634071350098
2018-11-27,-0.0,0.010318338871002197,0.026529908180236816,-0.009788870811462402,0.023241877555847168,0.002149045467376709,0.013110756874084473,-0.005624294281005859,0.014339268207550049,-0.003772139549255371,0.0,0.011338412761688232,-0.01663827896118164
2018-11-28,-0.0,0.004880189895629883,-0.04858720302581787,-0.007436394691467285,-0.024946630001068115,0.033022284507751465,-0.038005709648132324,0.00261002779006958,0.01002049446105957,-0.02271866798400879,-0.009009003639221191,0.007728755474090576,-0.021666288375854492
