date,ASHOKLEY,BAJAJ-AUTO,BHARATFORG,BOSCHLTD,EICHERMOT,EXIDEIND,HEROMOTOCO,M&M,MARUTI,MOTHERSON,SONACOMS,TVSMOTOR,TMPV,TIINDIA,UNOMINDA
2021-06-24,0.008756577968597412,-0.006715536117553711,-0.006430864334106445,0.007603943347930908,0.008007824420928955,0.0151597261428833,-0.00755685567855835,0.012596726417541504,-0.012747764587402344,0.007714211940765381,0.0,-0.007908880710601807,-0.0017331242561340332,-0.009665191173553467,-0.02218770980834961
2021-06-25,-0.0459364652633667,0.007277131080627441,-0.007953286170959473,-0.008468151092529297,-0.005190730094909668,-0.004672884941101074,0.011485457420349121,0.003094196319580078,-0.016147494316101074,-0.0021299123764038086,0.0,0.01252734661102295,0.014973998069763184,0.016193866729736328,-0.012446880340576172
2021-06-28,-0.011824369430541992,0.003054380416870117,0.003439486026763916,-0.005021095275878906,-0.0072220563888549805,-0.0035567283630371094,0.001570582389831543,-0.0009443163871765137,0.006896317005157471,0.005632281303405762,-0.0,-0.0012854337692260742,0.009193897247314453,-0.012833595275878906,0.016041994094848633
2021-06-29,0.01001673936843872,0.014093160629272461,-0.011775016784667969,0.008361756801605225,0.012899279594421387,0.002998828887939453,-0.005677640438079834,-0.014996886253356934,0.014316260814666748,-0.004916071891784668,0.0,-0.014882147312164307,-0.0036017298698425293,-0.007490277290344238,0.01218956708908081
2021-06-30,0.008431732654571533,-0.0022374391555786133,-0.019196033477783203,2.9921531677246094e-05,0.012550413608551025,0.0027344822883605957,-0.008809804916381836,-0.004989743232727051,-0.003793001174926758,-0.02382218837738037,-0.0,0.013392090797424316,-0.005741000175476074,0.013705730438232422,0.012185633182525635
2021-07-01,0.0008503198623657227,-0.017115235328674316,-0.004921913146972656,-0.010811805725097656,-0.001553654670715332,0.0024678707122802734,0.007095813751220703,0.002250194549560547,-0.00911402702331543,-0.01101076602935791,0.0,0.006124019622802734,0.013686895370483398,0.010995984077453613,-0.008744478225708008
2021-07-02,-0.0,0.00695037841796875,-0.008162975311279297,-0.011203289031982422,0.0053452253341674805,-0.0030236244201660156,-0.0009260773658752441,0.004041314125061035,0.001390993595123291,-0.00246584415435791,0.0,-0.01970207691192627,0.0018987655639648438,-0.004909157752990723,0.009752273559570312
2021-07-05,-0.02127659320831299,-0.006262302398681641,0.0012955069541931152,-0.023349761962890625,-0.015050768852233887,-0.016168832778930664,0.0064525604248046875,0.011691808700561523,-0.0033800601959228516,0.009941577911376953,0.0,-0.001062154769897461,0.00357973575592041,-0.03653305768966675,0.0014069676399230957
2021-07-06,0.023333370685577393,0.0014643073081970215,0.00460505485534668,0.021487116813659668,-0.0037392377853393555,0.013214647769927979,-0.006627917289733887,-0.012440741062164307,0.011119246482849121,0.023809492588043213,0.0,-0.005070686340332031,-0.08434748649597168,-0.013022005558013916,-0.009705662727355957
2021-07-07,-0.011945366859436035,0.0017108917236328125,-0.050759077072143555,-0.007783412933349609,0.00011056661605834961,-0.000546574592590332,-0.0020906925201416016,-0.00383681058883667,0.008722662925720215,0.007741272449493408,0.0,-0.006411850452423096,0.0004583597183227539,-0.012835979461669922,0.01844966411590576
2021-07-08,-0.003372669219970703,-0.02644139528274536,-0.003286600112915039,0.014520883560180664,-0.006806015968322754,-0.0027314424514770508,-0.004609167575836182,-0.0034022927284240723,0.0064702630043029785,0.013893365859985352,-0.0,-0.009017884731292725,-0.033898353576660156,-0.005346179008483887,0.0037907958030700684
